o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27,o28,o29,o30,o31,o32,o33,o34,o35,o36,o37,o38,o39,o40,o41,o42,o43,o44,o45,o46
0,0,0,0,0,0,0,0,0,0,0,0.999440142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33E-05,0,0,0,0,0,0.000186619,0,0,0,0,9.33E-05,0,0,0,0,0,0,0,0.000186619
0,0,0,0,0.000351083,0,0,0,0,0,0,0.992276185,0,0,0,0,0,0,0.001638385,0.000234055,0,0,0.000117028,0,0,0.000234055,0.00046811,0,0,0,0,0,0.001053248,0,0,0.003159743,0,0.000117028,0.000117028,0,0.000117028,0,0.000117028,0,0,0
0,0.119617225,0,0,0,0,0,0,0.025119617,0,0,0.843301435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002392344,0,0,0,0,0,0.002392344,0,0,0,0,0,0,0,0,0,0.002392344,0,0,0.004784689
0,0.011614402,0,0,0.008517228,0.000387147,0,0,0.001548587,0,0,0.866821525,0,0.000387147,0,0,0,0,0.025551684,0.001935734,0.005807201,0,0.003097174,0,0.00232288,0.000387147,0.006581494,0,0,0,0,0,0.022067364,0,0,0.036778939,0.000387147,0,0,0,0.003097174,0,0.002710027,0,0,0
0,0.004668742,0,0,0.000889284,0,0,0,0.002000889,0,0.000222321,0.985549133,0,0,0,0,0,0,0,0.000222321,0.000444642,0,0,0,0,0,0.000444642,0,0,0,0.000222321,0,0.002000889,0,0,0,0,0.001333926,0.001111605,0.000222321,0.000222321,0,0,0,0,0.000444642
0,0.792004049,0,0.000506073,0.003036437,0,0,0,0.093117409,0,0,0.090080972,0,0,0,0,0,0,0.000506073,0.000506073,0,0,0,0,0,0,0,0,0,0.000506073,0,0,0.004554656,0,0,0.000506073,0,0.000506073,0.001012146,0,0.012651822,0,0,0,0,0.000506073
0,0.000103842,0,0,0.000103842,0,0,0,0.000103842,0,0,0.99854621,0,0,0,0,0,0,0,0,0.000311526,0,0.000103842,0,0,0,0,0,0,0.000103842,0,0,0.000415369,0,0,0,0,0.000103842,0,0,0,0,0,0,0.000103842,0
0,7.35E-05,0,0,3.67E-05,0,0,0,0,0,3.67E-05,0.999449016,0,0,0,0,0,0,3.67E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110197,0,0,0,0,0.000110197,0,0,0,0,0,0,3.67E-05,0.000110197
0,0.268971332,0,0,0,0,0,0,0.193929174,0,0,0.521922428,0,0,0,0,0,0,0,0,0,0,0,0.00084317,0,0,0,0,0,0,0,0,0.005902192,0,0,0,0,0.005059022,0,0,0.001686341,0,0,0,0,0.001686341
0,0,0,0,0.000129249,0,0,0,0,0,0.000129249,0.992503554,0,0,0,0,0,0,0.001938736,6.46E-05,0,0,0.000969368,0,0,0,0,0,0,0,0,6.46E-05,0,0,0,0.002843479,0,0.000193874,0,0,0.000969368,0,0,0,0,0.000193874
