o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27,o28,o29,o30,o31,o32,o33,o34,o35,o36,o37,o38,o39,o40,o41,o42,o43,o44,o45,o46,o47,o48,o49,o50,o51,o52,o53,o54,o55,o56,o57,o58,o59,o60,o61,o62,o63,o64,o65,o66,o67,o68,o69,o70,o71,o72,o73,o74,o75,o76,o77,o78,o79,o80,o81,o82,o83,o84,o85,o86,o87,o88,o89,o90,o91,o92,o93,o94,o95,o96,o97,o98,o99,o100,o101,o102,o103,o104,o105,o106,o107,o108,o109,o110,o111,o112,o113,o114,o115,o116,o117,o118,o119,o120,o121,o122,o123,o124,o125,o126,o127,o128,o129,o130,o131,o132,o133,o134,o135,o136,o137,o138,o139,o140,o141,o142,o143,o144,o145,o146,o147,o148,o149,o150,o151,o152,o153,o154,o155,o156,o157,o158,o159,o160,o161,o162,o163,o164,o165,o166,o167,o168,o169,o170,o171,o172,o173,o174,o175,o176,o177,o178,o179,o180,o181,o182,o183,o184,o185,o186,o187,o188,o189,o190,o191,o192,o193,o194,o195,o196,o197,o198,o199,o200,o201,o202,o203,o204,o205,o206,o207,o208,o209,o210,o211,o212,o213,o214,o215,o216,o217,o218,o219,o220,o221,o222,o223,o224,o225,o226,o227
0.007774867,3.1691E-05,0.000686639,0,0,0,0,8.45094E-05,3.1691E-05,0,0.001922589,0.000242965,0.000211274,0.12767261,0.002767684,0.000507057,0.003517705,0,0,0,0,3.1691E-05,0.002450773,0.001743007,0.006792445,0.001774698,3.1691E-05,0.062864447,0.006824136,0,0,0.008155159,0.027708527,0,0,0.004267726,1.05637E-05,0,0.000654948,0.032641765,0,0.002292318,0.000242965,0.000908476,0,2.11274E-05,0,2.11274E-05,0.000295783,0.000211274,0,0,0.00111975,0,0,5.28184E-05,0,2.11274E-05,0.004003634,0.003084594,0,0.002852193,2.11274E-05,0,0.018835038,0,0.000950731,6.33821E-05,0.000253528,0,1.05637E-05,0.000285219,0,0.000221837,0.009401673,0.001774698,0.006021296,0,0.024497169,0.002577537,0.00080284,8.45094E-05,0.005619877,3.1691E-05,2.11274E-05,0.008218541,0.002461337,0.00215499,0,0,0,0.000433111,7.39457E-05,0.000422547,0,0,1.05637E-05,0,0.001700752,0,1.05637E-05,0,0,9.50731E-05,0,0,0,0.004267726,0.000707766,0,0,0,0,3.1691E-05,0,0,0.000221837,1.05637E-05,0,0,0,0,0,0,2.11274E-05,0.005577622,0.000221837,0.000137328,0.000126764,0.00519733,0,0,0,0,0,0,0,2.11274E-05,0,0,1.05637E-05,0.000285219,2.11274E-05,0.051920477,6.33821E-05,7.39457E-05,0,0.000147891,2.11274E-05,0,6.33821E-05,0,5.28184E-05,0,0,0,0,6.33821E-05,3.1691E-05,0,0,0,0,0.000242965,0.000654948,0.000612693,0.000253528,0,0.005176202,0.03567354,0.001605679,9.50731E-05,0.124630271,0.0001162,1.05637E-05,8.45094E-05,0.085143243,0.03311713,0.046480183,0,0.026197921,0.000253528,0,0,0,0,0,0,0,1.05637E-05,0,0,0,0,0,0,0,0.000823967,0,0,3.1691E-05,5.28184E-05,2.11274E-05,0,0,2.11274E-05,0,0,6.33821E-05,0,0.003169103,0,0.006137497,0.000158455,0.013521508,0.12683808,7.39457E-05,0,0,0.000190146,0.015655371,0,0,0,0,0,0
0.009507438,0,0.000929694,0,0,0,0,0.000403452,0.000359599,8.7707E-06,0.000508701,8.7707E-05,0.000166643,0.134446043,0.004499369,0.000526242,0.001096337,1.75414E-05,0,0,0,2.63121E-05,0.001324376,0.001438395,0.004964216,0.001569955,2.63121E-05,0.0801905,0.005464145,0,0,0.009551291,0.041976565,0,0,0.0065254,8.7707E-06,8.7707E-06,0.000412223,0.043327252,0,0.003657381,0.000403452,0.00149979,0,0.000271892,0,0.000228038,0.000894611,0.000210497,0,1.75414E-05,0.00063149,0,0,0,0,7.01656E-05,0.006735897,0.00350828,0,0.005130859,8.7707E-06,3.50828E-05,0.030311535,0,0.000587637,2.63121E-05,2.63121E-05,0,7.01656E-05,0.00049993,0,0.000526242,0.013366545,0.00388542,0.019532346,0,0.029653733,0.002552273,0.001666433,0.00024558,0.00714812,7.89363E-05,1.75414E-05,0.012822762,0.002683834,0.005841285,0,0,1.75414E-05,0.00062272,0.000526242,0.000570095,0,0.000149102,8.7707E-06,0,0.000763051,0,4.38535E-05,0,0,0.000184185,0,8.7707E-06,0,0.001526102,0.000727968,0,0,0,8.7707E-05,0,0,0,0.000105248,0,0,0,0,0,0,0,3.50828E-05,0.006332445,0.000359599,0.000596408,0.000228038,0.006499088,0,0,0,0,0,0,0,7.01656E-05,0,0,0,0.000105248,7.01656E-05,0.024812307,8.7707E-05,0,0,0.00013156,0,0,3.50828E-05,0,8.7707E-06,0,8.7707E-06,0,0,2.63121E-05,8.7707E-06,0,0,0,0,0.00012279,0.001184044,0.000342057,0.00012279,0,0.003666152,0.036407171,0.001403312,1.75414E-05,0.113063079,8.7707E-06,1.75414E-05,1.75414E-05,0.095995299,0.038950674,0.028522313,0,0.027838198,0.000184185,0,0,0,0,8.7707E-06,0,0,0,0,0,0,0,0,0,4.38535E-05,0.000543783,0,8.7707E-06,2.63121E-05,0.000482388,6.13949E-05,3.50828E-05,0,0.000184185,0,0,0,0,0.003999439,0,0.009419731,0.000271892,0.011103705,0.059824937,0.000403452,0,0,0.00037714,0.016331041,8.7707E-06,0,0,0,0,2.63121E-05
0.01289714,0,7.36979E-06,0,0,0,0,0.002365704,0.002306746,1.47396E-05,1.47396E-05,0,0.000191615,0.007804612,0.06622497,2.21094E-05,0.049134418,0.000103177,0,2.94792E-05,0,7.36979E-06,5.89584E-05,7.36979E-06,0.032847173,0.000331641,0.000751719,0.014540604,0.01218964,0,0,0.006050601,0.030886807,0,0,0.000648542,0,0,7.36979E-06,0.023354878,0,0.000869636,0.000678021,0.001532917,0,2.94792E-05,0,2.21094E-05,0.000449557,0.000191615,0,7.36979E-06,0.000154766,0,0,0.000206354,0,2.21094E-05,0.003456433,0.003485913,0,0.002999506,0,0,0.012255968,0,0.000943334,0.000309531,3.6849E-05,0,0,7.36979E-06,0,0,0.001687683,0.001171797,5.15886E-05,0,0.006610705,2.21094E-05,0.042744806,2.94792E-05,0.000508516,2.21094E-05,1.47396E-05,0.004864064,0.004451356,0.001599245,0,0,0,0.001591876,0.000685391,0.000198984,0,7.36979E-06,0,0,0.002726824,7.36979E-06,0,0.000574844,0,0,0,0,0,0.001039141,0.000781198,0,0,0,8.10677E-05,0,0,0,0.000184245,0,0,0,0,0,0,0,0,0.00108336,1.47396E-05,0,0,0.007539299,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000655912,0.000294792,2.21094E-05,0,0.000221094,0.000125287,0,0,0,1.47396E-05,7.36979E-06,0,0,0,7.36979E-05,5.89584E-05,0,0,0,0,0,0.000169505,0.001370782,0.000169505,0,0.001333933,0.025027821,7.36979E-06,0.000110547,0.169475787,0.000125287,0,4.42188E-05,0.129000877,0.029434958,0.023443315,0,0.026037483,1.47396E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00142237,0,0,0,0.000655912,4.42188E-05,0,7.36979E-06,0.000397969,0,0,1.47396E-05,7.36979E-06,0.002697345,0,0.000493776,0.001193907,0.040290665,0.156917657,0.011194717,0,0,7.36979E-06,0.006662294,0,0,0,0,0,0
0.012987884,0,0.000134126,0,0,0,0,0.009958868,0.003453749,0,0.000134126,4.47087E-05,1.11772E-05,0.053371038,0.035655206,0.00027943,0.01050655,1.11772E-05,0,0.000916529,0,0,0.000201189,0.000670631,0.013054947,0.001028301,0.000268252,0.060591496,0.021538427,0,0,0.004862074,0.036102294,0,0,0.002034247,0,0.000201189,6.70631E-05,0.023930344,0,0.004381455,0.001475388,0.00261546,0,0.000178835,0.000447087,0.000558859,0.001184781,0.000111772,0,0,0.00130773,0,0,0.000324138,0,0.000782403,0.003710824,0.000558859,0,0.002671346,2.23544E-05,6.70631E-05,0.030346046,0,0.000368847,0.001251844,0.000100595,2.23544E-05,0.000201189,0.000111772,0,0.000312961,0.013759109,0.005834488,0.008964099,1.11772E-05,0.024377431,0.001944829,0.027048777,0.000681808,0.003800241,0,0.000458264,0.012261367,0.004705593,0.014999776,0,0,0.000134126,0.001162427,0.000413556,0.001073009,0.00027943,0.005443287,0.004482049,0,0.000424733,0,0.000190012,1.11772E-05,0,0.000145303,0,6.70631E-05,0,0.001866589,0.003453749,0,0,0,0.002626637,0,2.23544E-05,0,0.00027943,2.23544E-05,0,0,0,0,1.11772E-05,0,1.11772E-05,0.005275629,0.000190012,0.000916529,0.000245898,0.017928198,0,0,0,0,0,0,0,0.000212366,0,0,0,6.70631E-05,0,0.007935798,0.000424733,6.70631E-05,0,0.000212366,0.000480619,0,8.94174E-05,0,8.94174E-05,1.11772E-05,1.11772E-05,0,0,0,1.11772E-05,1.11772E-05,0,0,0,1.11772E-05,0.000145303,0.000234721,0.000268252,0,0.000670631,0.027976483,4.47087E-05,0,0.066884249,4.47087E-05,0,0.000100595,0.083918272,0.045859972,0.034481602,0,0.028501811,7.82403E-05,0,0.00035767,2.23544E-05,4.47087E-05,0,0,0,2.23544E-05,0,0,0,0,0,0,1.11772E-05,0.00043591,0,1.11772E-05,2.23544E-05,0.000268252,0.000190012,4.47087E-05,0,0.000424733,0,0,0,3.35315E-05,0.00804757,3.35315E-05,0.002224259,0.000111772,0.010696562,0.159509545,0.002090133,0,0,0.000156481,0.005521527,7.82403E-05,0,0,0,0,0.000145303
0.015834933,2.13265E-05,0.000266581,0,0,0,0,0.005683515,0.000671785,0,0.001183621,0.000927703,0.000138622,0.049328215,0.021006611,0.000245255,0.004787801,1.06633E-05,0,0,0,2.13265E-05,0.000810407,0.00183408,0.014299424,0.002313926,0.000106633,0.04236511,0.013936874,0,0,0.008647899,0.030550224,0,4.2653E-05,0.005576882,1.06633E-05,0,0,0.04459373,1.06633E-05,0.004137343,0.00085306,0.004702495,0,0.000106633,1.06633E-05,8.5306E-05,0.000970356,0.000821071,0,0,0.000362551,0,0,4.2653E-05,0,3.19898E-05,0.002527191,0.001887396,0,0.003518874,0,0,0.017007891,0,0.00173811,0.000245255,0.000191939,0,7.46428E-05,0.000149286,0,6.39795E-05,0.006152698,0.00491576,0.005608872,4.2653E-05,0.031861804,0.004585199,0.005075709,0.000671785,0.005715504,7.46428E-05,0.000298571,0.01261463,0.002004692,0.006344636,0,0,0,0.001812753,0.001130305,0.001108978,0,1.06633E-05,0,1.06633E-05,0.001983365,1.06633E-05,3.19898E-05,3.19898E-05,0,0.000191939,0,0,0,0.006248667,0.000682448,0,0,1.06633E-05,7.46428E-05,0,0,0,0.000277245,0,0,1.06633E-05,0,0,0,0,1.06633E-05,0.009564939,0.000138622,7.46428E-05,0.000138622,0.011377692,0,0,0,0,0,0,0,0.000266581,0,0,0,0.000117296,1.06633E-05,0.023587119,0.000415867,3.19898E-05,0,0.00039454,0.000159949,0,3.19898E-05,0,5.33163E-05,0,0,0,2.13265E-05,5.33163E-05,0.000138622,1.06633E-05,0,0,0,0.000255918,0.000298571,0.001930049,0.000511836,0,0.002868415,0.039475368,0.000255918,0.000170612,0.145148219,0.000149286,2.13265E-05,0.000277245,0.092439753,0.040786948,0.034719556,0,0.022989977,4.2653E-05,0,1.06633E-05,0,0,0,0,0,1.06633E-05,1.06633E-05,0,0,0,0,0,0,0.001652804,0,0,5.33163E-05,0.000341224,0.000117296,1.06633E-05,0,0.000383877,0,0,0.000309234,3.19898E-05,0.004382598,0,0.002900405,0.000938366,0.018234165,0.120206867,0.001034336,0,1.06633E-05,0.000298571,0.01576029,0,0,0,1.06633E-05,0,0
0.020817669,0,7.83208E-06,0,0,0,0,0.006171679,0.009046053,0,3.13283E-05,0,7.04887E-05,0.002623747,0.087868108,7.83208E-06,0.092606516,0.000211466,0,0,0,7.83208E-06,1.56642E-05,3.13283E-05,0.038784461,0.000947682,0.000689223,0.00056391,0.01133302,0,7.83208E-06,0.005090852,0.027302632,0,0,0.000266291,0,0,0,0.018616855,0,0.001386278,0.000783208,0.002576754,0,0.000140977,0,7.83208E-06,0.000861529,0.001268797,0,0,7.83208E-06,0,0,0.000164474,0,7.83208E-06,0.000744048,0.000219298,0,0.004010025,0,0,0.008082707,0,0.001002506,0.000180138,7.83208E-06,0,0,0,0,7.83208E-06,0.000509085,0.000125313,7.83208E-06,3.13283E-05,0.001746554,3.91604E-05,0.036857769,0,0.000195802,0.000140977,0,0.002968358,0.001268797,0.000274123,0,0,0,0.004166667,0.00018797,0.000305451,0,0,0,7.83208E-06,0.004989035,3.13283E-05,7.83208E-06,0.000438596,0,0,0,0,0,0.005725251,0.001119987,0,0,0,0.000422932,0,0,0,2.34962E-05,0,0,0,0,0,0,0,0,0.003649749,0,0.000274123,0.000109649,0.006093358,0,0,0,0,0,0,0,0,0,0,7.83208E-06,0,0,0.000595238,1.56642E-05,0,0,0.000203634,0.000250627,0,0,0,2.34962E-05,0,0,0,0,7.83208E-06,7.04887E-05,1.56642E-05,0,0,0,0,0,0.002028509,7.83208E-06,0,2.34962E-05,0.021334586,7.83208E-06,7.83208E-05,0.191243734,0.000203634,0,0,0.114277882,0.014426692,0.026347118,0,0.038361529,0,0,8.61529E-05,0,0,0,0,0,1.56642E-05,0,0,0,0,0,0,8.61529E-05,0.002200815,0,0,0,0.001026003,0.000140977,0,0,4.69925E-05,0,0,7.83208E-05,0,0.004965539,0,0.000313283,0.003179825,0.03362312,0.113165727,0.015123747,0,0,0,0.000117481,0,0,0,0,0,0
0.011533586,0,7.21493E-05,0,0,0,0,0.000381361,3.09211E-05,0,0.002195401,0.000340133,0.00017522,0.056781522,0.013461003,0.000329826,0.002741674,1.0307E-05,0,0,0,2.06141E-05,0.001937725,0.001968646,0.014924604,0.000999784,9.27634E-05,0.044691355,0.011729419,0,1.0307E-05,0.006637738,0.030766535,0,3.09211E-05,0.004091898,0,0,0.000195834,0.03640449,2.06141E-05,0.003957906,0.001030705,0.002556148,0,5.15352E-05,0,1.0307E-05,0.000371054,0.000412282,0,0,0.000752414,0,0,3.09211E-05,0,0,0.003494089,0.007194319,0,0.004875233,1.0307E-05,0,0.020851156,0,0.001576978,3.09211E-05,0.000133992,0,3.09211E-05,0.000144299,0,3.09211E-05,0.009626782,0.006452211,0.007575679,1.0307E-05,0.019016502,0.000298904,0.005132909,0.000195834,0.004483565,2.06141E-05,0.000113378,0.011636656,0.001164696,0.003391018,0,0,0,0.001618206,0.000309211,0.000700879,5.15352E-05,0,1.0307E-05,2.06141E-05,0.001061626,0,2.06141E-05,0.000195834,0,0.000216448,0,0,0,0.004308346,0.001298688,0,0,0,1.0307E-05,3.09211E-05,0,0,0.000247369,0,0,1.0307E-05,0,0,0,0,1.0307E-05,0.004019748,0.000154606,0,2.06141E-05,0.006060544,0,0,0,0,0,0,0,0,0,0,2.06141E-05,3.09211E-05,2.06141E-05,0.026952928,0.000371054,6.18423E-05,0,0.000360747,3.09211E-05,0,7.21493E-05,0,7.21493E-05,2.06141E-05,0,0,0,0.000123685,0,1.0307E-05,0,0,0,0.000371054,0.000515352,0.001968646,0.000855485,0,0.005215366,0.04083652,0.000185527,0.000185527,0.149431566,0.000247369,0,0.000144299,0.080539265,0.039960421,0.04425846,0,0.019119572,0.000329826,0,0,0,0,0,0,0,1.0307E-05,0,0,4.12282E-05,0,0,0,4.12282E-05,0.001618206,0,0,5.15352E-05,0.000298904,2.06141E-05,2.06141E-05,0,6.18423E-05,0,0,2.06141E-05,0,0.003133342,1.0307E-05,0.006864493,0.000669958,0.021933396,0.157522598,0.000371054,0,0,5.15352E-05,0.015326579,0,0,0,0,0,0
0.011572493,2.35532E-05,0.001036343,0,0,0,0,1.57022E-05,7.85108E-06,0,0.001358237,0.00036115,9.4213E-05,0.127454444,0.000251235,0.000785108,8.63619E-05,0,0,0,0,5.49576E-05,0.001279726,0.004121817,0.004781308,0.007521335,0,0.074491054,0.00464784,0,7.85108E-06,0.010975811,0.026842845,0,7.06597E-05,0.007960996,0.000109915,0,0.002747878,0.047208548,0,0.004341648,0.000298341,0.001397492,0,7.85108E-06,0,3.14043E-05,0.00058098,0.000486767,0,3.92554E-05,0.000722299,0,0,0.000117766,1.57022E-05,2.35532E-05,0.009067998,0.006335822,0,0.006280865,2.35532E-05,1.57022E-05,0.021331386,0,0.001224769,0.000204128,7.85108E-06,0,0.00021983,0.000416107,0,0.000785108,0.018638466,0.003109028,0.005346586,0,0.021614025,0.003980498,0.000502469,0.000431809,0.00966468,0.000117766,3.92554E-05,0.007906038,0.002198303,0.006665568,0,0,3.92554E-05,0.001899962,0.000408256,0.001193364,0.000117766,1.57022E-05,7.85108E-06,0,0.001342535,4.71065E-05,1.57022E-05,7.85108E-06,0,0.000400405,0,0,0,0.005715587,0.000722299,0,0,0,0.000321894,2.35532E-05,0,1.57022E-05,0.000706597,0,0,0,0,0,0,0,0.00021983,0.004270988,0.000494618,0.000549576,0.001287577,0.005213118,0,0,0,0,0,0,0,0.000109915,0,0,1.57022E-05,0.000180575,0.000109915,0.026827143,0.000109915,7.85108E-06,7.85108E-06,0.000337596,0.000133468,0,0.000164873,0,0,0,0,0,0,0.000471065,7.85108E-05,0,0,0,7.85108E-06,0.00036115,0.001004938,0.001350386,0.000400405,0,0.007513484,0.027219697,0.000722299,0.000141319,0.156134442,4.71065E-05,0,0.000125617,0.063585903,0.034309223,0.039381021,0,0.029653532,0.000306192,0,0,0,0,7.85108E-06,0,0,0,0,0,4.71065E-05,0,0,0,4.71065E-05,0.001028492,0,0,0.000117766,0.000259086,6.28086E-05,1.57022E-05,0,0.000180575,0,0,7.85108E-06,0,0.004129668,2.35532E-05,0.008942381,0.000400405,0.015450927,0.069505617,0.000408256,0,2.35532E-05,4.71065E-05,0.013338986,0,0,0,0,7.85108E-06,3.14043E-05
0.012211388,4.97071E-05,0.000555063,0,0,0,0,0.017322939,0.009941428,8.28452E-06,0.002361089,5.79917E-05,0.000248536,0.033436338,0.028374494,0.000215398,0.040627304,0,0,4.14226E-05,0,8.28452E-06,0.001540921,0.001010712,0.019526622,0.002303098,0.000414226,0.023378926,0.008682181,0,0,0.00686787,0.030984119,0,0,0.002891299,0,0,8.28452E-06,0.019526622,0,0.002941006,0.000455649,0.003496069,0,8.28452E-05,0,8.28452E-06,0.000646193,0.000505356,0,0,0.000289958,0,8.28452E-06,3.31381E-05,0,1.6569E-05,0.002758746,0.001872302,0,0.002965859,4.14226E-05,0,0.013462351,0,0.00164862,2.48536E-05,0.000538494,0,4.97071E-05,0.000480502,2.48536E-05,4.14226E-05,0.004672471,0.001474645,0.002336236,0,0.017861433,0.00034795,0.016651893,0.00016569,0.002816738,2.48536E-05,0,0.00930352,0.002758746,0.001847449,0,0,0,0.000985858,0.000356235,0.000397657,0,0,0,4.97071E-05,0.001806026,5.79917E-05,0,0.00043908,0,0.000140837,0,0,0,0.002137407,0.00051364,0,0,0,0.00130067,0,0,0,0.000223682,0,0,0,0,0,0,0,0,0.004912723,0.000140837,1.6569E-05,2.48536E-05,0.004954145,0,0,0,0,2.48536E-05,0,0,1.6569E-05,0,0,0,0.000248536,4.14226E-05,0.015649465,4.14226E-05,5.79917E-05,0,0.000198829,0.000140837,0,8.28452E-06,0,0.000132552,0,0,0,0,0.000298243,6.62762E-05,0,0,0,0,0.00025682,0.000223682,0.002104269,0.00104385,0,0.010281094,0.023403779,0.000198829,0.000107699,0.162766037,0.000248536,2.48536E-05,0.000364519,0.107210021,0.029128385,0.03887927,0,0.028581607,0.000248536,8.28452E-06,1.6569E-05,0,0,0,8.28452E-06,0,5.79917E-05,0,0,8.28452E-06,0,0,0,6.62762E-05,0.001640336,0,8.28452E-06,8.28452E-06,0.000389373,4.14226E-05,4.14226E-05,0,0.000140837,0,0,0.000207113,0,0.002675901,1.6569E-05,0.002626194,0.003015567,0.018979844,0.156602351,0.004225107,0,0,6.62762E-05,0.013429213,0,0,0,1.6569E-05,0,0
0.008372972,6.3002E-06,0.000567018,0,0,0,0,5.67018E-05,2.52008E-05,0,0.000472515,0.000226807,0.000138605,0.128568278,0.000548118,0.00060482,0.000132304,0,0,0,0,3.78012E-05,0.000806426,0.001423846,0.004183336,0.00153725,6.3002E-06,0.043150102,0.004970862,0,0,0.006974327,0.025421326,0,0,0.004674752,1.89006E-05,3.78012E-05,0.001512049,0.025370925,0,0.005733186,0.000453615,0.001625453,0,2.52008E-05,2.52008E-05,0.000157505,0.000352811,0.000170106,0,5.04016E-05,0.000768625,0,0,1.26004E-05,0,0,0.014118759,0.004964561,0,0.008209167,1.89006E-05,0,0.036068672,0,0.000648921,0.00032131,0,0,0.000226807,0.000485116,0,0.000434714,0.02215782,0.002942196,0.007717751,0,0.020670972,0.002205072,0.000390613,0.000270909,0.005392975,8.19027E-05,1.26004E-05,0.011302567,0.003641518,0.00768625,0,0,0,0.000863128,0.001971964,0.000951331,0.000226807,4.41014E-05,1.26004E-05,0,0.000415814,0,1.89006E-05,3.78012E-05,0,0.000371712,0,0,0,0.002973697,0.001719956,0,0,0,3.78012E-05,3.78012E-05,0,3.78012E-05,0.00063002,0,0,0,0,0,0,0,0.00063002,0.004252638,0.000327611,0.000277209,0.000989132,0.004277839,0,0,0,0,2.52008E-05,0,0,6.3002E-05,0,0,0,3.1501E-05,5.67018E-05,0.01477398,0.000132304,1.89006E-05,0,0.000107103,5.67018E-05,0,0,0,3.78012E-05,1.26004E-05,0,0,0,0.000113404,6.3002E-05,0,0,0,6.3002E-06,0.000541818,0.001404946,0.001001733,0.000516617,0,0.011661679,0.027512994,0.001272641,0.000226807,0.128902189,0.000239408,0,0.000182706,0.076799496,0.043893527,0.04984092,0,0.038487951,0.000352811,0,6.3002E-06,0,6.3002E-06,1.26004E-05,0,0,6.3002E-06,0,0,0,0,0,6.3002E-06,2.52008E-05,0.000478816,6.3002E-06,6.3002E-06,3.78012E-05,0.000233108,3.78012E-05,1.26004E-05,0,3.78012E-05,0,0,1.26004E-05,6.3002E-06,0.010048827,4.41014E-05,0.025963144,0.00031501,0.022844542,0.07908647,0.000182706,0,0,0.000119704,0.021805009,2.52008E-05,0,0,0,0,0
