o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27,o28,o29,o30,o31,o32,o33,o34,o35,o36,o37,o38,o39,o40,o41,o42,o43,o44,o45,o46,o47,o48,o49,o50,o51,o52,o53,o54,o55,o56,o57,o58,o59,o60,o61,o62,o63,o64,o65,o66
0.007774867,3.17E-05,0.000686639,0,0.0001162,0.219354771,0.073438688,0.003781797,0.000211274,0.00111975,0.028870532,0,0.000950731,0.000612693,0.063889124,0.000940167,0.001700752,1.06E-05,0,9.51E-05,0.004975492,0,0,0.000264092,0,0,0.011282008,0,0,0,0,0,2.11E-05,0,1.06E-05,0.000306347,0.051920477,0.000306347,0,0.0001162,9.51E-05,0,0,0.1690611,0.191287079,0,0,0,1.06E-05,0,0.000823967,0.000105637,0,2.11E-05,0,0.149888025,7.39E-05,0,0.000190146,0.015655371,0,0,0,0,0,0
0.009507438,0,0.000929694,0,0.000763051,0.236361563,0.101810272,0.006955164,0.000210497,0.000649032,0.045800589,0,0.000587637,0.00062272,0.10002105,0.001894471,0.000763051,4.39E-05,0,0.000192955,0.00225407,0,8.77E-05,0.000105248,0,0,0.01405066,0,0,0,0,0,7.02E-05,0,0,0.000175414,0.024812307,0.000219267,0,5.26E-05,3.51E-05,0,0,0.156337707,0.191525751,0,0,8.77E-06,0,0,0.000587637,0.000613949,0,0.000184185,0,0.084619702,0.000403452,0,0.00037714,0.016331041,8.77E-06,0,0,0,0,2.63E-05
0.01289714,0,7.37E-06,0,0.004672449,0.184274333,0.060948198,0.00358172,0.000191615,0.000162135,0.022426284,0,0.000943334,0.00035375,0.063778199,0.002483621,0.002734194,0,0.000574844,0,0.001820339,0,8.11E-05,0.000184245,0,0,0.008637399,0,0,0,0,0,0,0,0,0,0.000655912,0.000663281,0,2.21E-05,0.000132656,0,0,0.197790536,0.207975591,0,0,0,0,0,0.00142237,0.00070013,7.37E-06,0.000397969,0,0.201615459,0.011194717,0,7.37E-06,0.006662294,0,0,0,0,0,0
0.012987884,0,0.000134126,0,0.013412617,0.198283185,0.06719721,0.010841865,0.000111772,0.00130773,0.038483033,0,0.000368847,0.001687754,0.119159923,0.012987884,0.000424733,0.000190012,1.12E-05,0.000212366,0.005320338,0,0.002626637,0.000324138,0,1.12E-05,0.024567443,0,0,0,0,0,0.000212366,0,0,6.71E-05,0.007935798,0.001184781,0,0.000201189,1.12E-05,1.12E-05,0,0.096280234,0.192940493,0.000380024,4.47E-05,0,2.24E-05,0,0.000447087,0.000536505,0,0.000424733,0,0.180656771,0.002090133,0,0.000156481,0.005521527,7.82E-05,0,0,0,0,0.000145303
0.015834933,2.13E-05,0.000266581,0,0.0063553,0.153316272,0.089422052,0.01087652,0.000821071,0.000362551,0.025015995,0,0.00173811,0.000661122,0.086031137,0.0040627,0.002004692,3.20E-05,3.20E-05,0.000191939,0.006931115,1.07E-05,7.46E-05,0.000277245,1.07E-05,0,0.021305182,0,0,0,0,0,0.000266581,0,0,0.000127959,0.023587119,0.001002346,0,8.53E-05,0.000213265,1.07E-05,0,0.191064193,0.191277458,1.07E-05,0,0,2.13E-05,0,0.001652804,0.000522499,0,0.000383877,0,0.147003626,0.001034336,0,0.000309234,0.01576029,0,0,0,1.07E-05,0,0
0.020817669,0,7.83E-06,0,0.015217732,0.235792607,0.051284461,0.005756579,0.001268797,7.83E-06,0.013228383,0,0.001002506,0.00018797,0.044172932,0.004660088,0.005028195,7.83E-06,0.000438596,0,0.006845238,0,0.000422932,2.35E-05,0,0,0.01012688,0,0,0,0,0,0,0,7.83E-06,0,0.000595238,0.000469925,0,2.35E-05,7.83E-05,1.57E-05,0,0.214927945,0.193413221,8.62E-05,0,0,1.57E-05,0,0.002286967,0.00116698,0,4.70E-05,0,0.155325815,0.015123747,0,0,0.000117481,0,0,0,0,0,0
0.011533586,0,7.21E-05,0,0.000412282,0.152399996,0.078137723,0.007998268,0.000412282,0.000752414,0.036456025,0,0.001576978,0.000340133,0.069149978,0.002690139,0.00108224,2.06E-05,0.000195834,0.000216448,0.005607034,0,1.03E-05,0.00027829,1.03E-05,0,0.010265819,0,0,0,0,0,0,0,2.06E-05,5.15E-05,0.026952928,0.000824564,0,0.000164913,0.000123685,1.03E-05,0,0.199812412,0.184351841,0,0,0,5.15E-05,0,0.001659435,0.000391668,0,6.18E-05,0,0.190154709,0.000371054,0,5.15E-05,0.015326579,0,0,0,0,0,0
0.011572493,2.36E-05,0.001036343,0,2.36E-05,0.227288786,0.095924504,0.006657716,0.000486767,0.000761555,0.043212348,0,0.001224769,0.000847917,0.0809996,0.003682157,0.001389641,1.57E-05,7.85E-06,0.000400405,0.006437886,0,0.000321894,0.000745853,0,0,0.012035707,0,0,0,0,0,0.000109915,0,1.57E-05,0.00029049,0.026827143,0.000596682,0,0.000164873,0.000549576,0,0,0.194903078,0.167361487,0,0,7.85E-06,4.71E-05,0,0.001075598,0.000455363,0,0.000180575,0,0.098460403,0.000408256,0,7.07E-05,0.013338986,0,0,0,0,7.85E-06,3.14E-05
0.012211388,4.97E-05,0.000555063,0,0.027264367,0.162235827,0.060278194,0.007630046,0.000505356,0.000289958,0.021158673,0,0.00164862,0.001093557,0.060327901,0.00173975,0.001913725,0,0.00043908,0.000140837,0.002651048,0,0.00130067,0.000223682,0,0,0.010049127,0,0,2.49E-05,0,0,1.66E-05,0,0,0.000289958,0.015649465,0.00043908,0,0.000140837,0.000364519,0,0,0.200634595,0.204445475,1.66E-05,0,0,7.46E-05,0,0.001706612,0.000488787,0,0.000140837,0,0.184123539,0.004225107,0,6.63E-05,0.013429213,0,0,0,1.66E-05,0,0
0.008372972,6.30E-06,0.000567018,0,8.19E-05,0.186807371,0.06401008,0.008372972,0.000170106,0.000819027,0.06339266,0,0.000648921,0.001033234,0.08490786,0.004069932,0.000415814,1.89E-05,3.78E-05,0.000371712,0.004693653,0,3.78E-05,0.000705623,0,0,0.01075445,0,0,2.52E-05,0,0,6.30E-05,0,0,8.82E-05,0.01477398,0.00031501,0,5.04E-05,0.000176406,0,0,0.173287132,0.209557411,6.30E-06,6.30E-06,1.26E-05,6.30E-06,0,0.000510317,0.000333911,0,3.78E-05,0,0.138320995,0.000182706,0,0.000119704,0.021805009,2.52E-05,0,0,0,0,0
