o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27,o28,o29,o30,o31
0.095774751,0.547747265,0,0.030020225,0.037610566,0.003301737,0,0.039011672,0.000645727,0,0.002278321,0.101172056,0,0.001047784,0.032651868,0.00020712,0,0,0,0,9.75E-05,0.027473866,0,0,0.00058481,0.010465655,0,0.000316772,0,0,0.069592339
0.127778841,0.083812654,0,0.128071499,0.081910379,0.001148119,0,0.031899686,0.012122781,0.000652852,0.000123817,0.406501503,0,0.004142232,0.028196441,0,0,0.00031517,0,2.25E-05,0.003635709,0.007237649,0,0,0,0.000731644,0,0.001620873,1.13E-05,0.001609617,0.078454768
0.015785363,0.012243282,0,0.012089278,0.01085725,0.001188027,3.30E-05,0.015389354,0,0.028523656,0.000352008,0.060523392,0,0.000473011,0.77567184,0,0,2.20E-05,0,0,0.005566128,0.02695062,0,0,0.00042901,3.30E-05,0,7.70E-05,0,0.000583013,0.033209764
0.138164899,0.038168842,0,0.139544971,0.025866488,0.001498364,0,0.053546784,0.004021923,0.008635306,0.002760144,0.284215922,0,0.001222349,0.167185837,0.000236584,0,0.000473167,0,0,0.006032885,0.053665076,0,7.89E-05,0.000197153,0.001182919,0,0.000788612,0,0,0.072512914
0.161386126,0.082392001,0,0.15092015,0.096489294,0.005382131,0,0.028557718,0.00076517,0.00115424,0.001115333,0.167572335,0,0.000830015,0.058775468,0,0,0.000466884,0,0,0.002010194,0.033849067,0,1.30E-05,0.000933767,0,0.001724876,0.001841597,0,0.000479853,0.203340812
0.038493054,0.04754367,9.31E-05,0.010503184,0.015363701,0.000502812,7.45E-05,0.020987746,0,0.002271965,0.000316585,0.029293456,0,0.020149726,0.743938322,0,0,0,0,0,0.000502812,0.00391076,0,0,0.000465567,9.31E-05,5.59E-05,0.000111736,0,9.31E-05,0.065235204
0.133700116,0.030313832,0,0.264564122,0.093948082,0.003967454,0,0.037489345,7.75E-05,0.004277412,0.00116234,0.241704766,0,0.008027896,0.030298334,0.001100349,0,0.000325455,0,0,0.001100349,0.002665633,0,0,0.001751259,0.095373886,0,0.003487021,0,0,0.044664859
0.088678801,0.052600577,0,0.490300603,0.007117473,0.002591742,0,0.015776246,0.001600204,0.000333785,0,0.180813257,0,0.000500677,0.02211816,0.000137441,0,0.000549763,9.82E-06,0,0.008403526,0.031856826,0,3.93E-05,0.000500677,0.00115843,0,0.001502032,0,0,0.093410693
0.14245848,0.331739399,3.02E-05,0.018584164,0.023034106,0.002564373,0.000241353,0.031059086,0.000241353,7.54E-05,9.05E-05,0.053399303,0,0.005701959,0.242831068,0,0,0,0,0,0.000120676,0.027001343,0,0,0.016291313,0.000814566,0.000135761,0.000105592,0,0.000271522,0.103208484
0.144593774,0.037273404,0,0.233769345,0.019582011,0.235172337,0,0.01251572,0.001471431,8.55E-06,0.000615948,0.223614759,0,0.000479071,0.029514171,0.000102658,0,0.000393522,0,8.55E-06,0.000222426,0.00663855,0,0,0.000256645,0.016630594,0,0.000752825,0,9.41E-05,0.036289598
0.030204949,0.013932965,0,0.008711264,0.014527202,0.003312556,0.000214937,0.013262868,0.00011379,0.012377834,0,0.033087631,0,0.000518377,0.785644747,0,0,0,0,0,0.002478095,0.00835725,0,0,0.000619524,0.043619536,0,3.79E-05,0,0,0.028978544
0.171668256,0.037835987,0,0.197104214,0.022647785,0.000244577,0,0.018489985,0.000611441,0.004182258,0.006823685,0.398512975,0,0.000293492,0.053024189,0,0,0,0,0,0.000293492,0.007899821,0,0,0.000195661,0.001051679,0,0.005967667,0,0,0.073152836
0.169142318,0.061530127,0,0.271511953,0.042866629,0.000122326,0,0.017178107,0.001275689,0,0,0.232419964,0,0.001712568,0.062963092,0,0,0.001240738,0,1.75E-05,0.000699007,0.008370614,0,0,0,0,0.000594156,0.00094366,0,0.000384454,0.127027121
0.074442049,0.037575857,0,0.02919635,0.029651263,0.000391226,0,0.020543895,2.73E-05,0.000127376,0,0.02982413,0,0.00173777,0.597519811,0,0,0,0,0,0.005631829,0.013147001,0,0,0.045263895,0,0,4.55E-05,0,9.10E-06,0.114865664
0.272430203,0.050571066,0,0.034295685,0.130758249,0.000237944,0.000190355,0.045748731,0.000111041,0.006202411,0,0.030345812,6.35E-05,0.001269036,0.263388325,0,0,3.17E-05,0,0,0.004758883,0.03599302,0,0,0.029394036,1.59E-05,4.76E-05,0.000111041,0,0,0.094035533
0.321452255,0.109033074,0,0.12876119,0.10023624,0.000341926,0,0.058790617,0.000113975,0.000290119,0,0.069017324,2.07E-05,0.006993949,0.056189904,0,0,0,0,1.04E-05,0.000373011,0.054521718,0,0,0,0.052521966,0.000414456,0.00021759,0,0,0.040699602
0.040751227,0.004944831,0,0.004799395,0.004392174,0.000562353,0,0.00745603,0,0,0,0.090597064,0,0.003655297,0.804145902,0,0,0,0,0,0.010490799,2.91E-05,0,0,0.001483449,0,0,2.91E-05,0,0,0.026663305
0.058979682,0.021160195,0,0.006440799,0.02468264,0.000578566,0,0.073018412,0,0.001029507,0,0.085780894,1.70E-05,0.034509751,0.601776537,0,0,0,0,0,0.010065344,0.000638124,0,0,0.010950209,0,0,4.25E-05,0,8.51E-06,0.070321274
0.359035733,0.136638742,0,0.241921696,0.019764062,0.000991622,0,0.008309113,0.000683878,0,0,0.11318174,0,0.008445888,0.058163789,0,0.000820653,0,0,3.42E-05,0.002154214,0.013267225,0,0,0.001265174,0.0016755,0,0.002051633,0,0.000307745,0.0312874
