o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27,o28,o29,o30,o31,o32,o33,o34,o35,o36,o37,o38,o39,o40,o41,o42,o43,o44,o45,o46,o47,o48,o49,o50,o51,o52,o53,o54,o55,o56,o57,o58,o59,o60,o61,o62,o63,o64,o65,o66,o67,o68,o69,o70,o71,o72,o73,o74,o75,o76,o77,o78,o79,o80,o81,o82,o83,o84,o85,o86,o87,o88,o89,o90,o91,o92,o93,o94,o95,o96,o97,o98,o99,o100,o101,o102,o103,o104,o105,o106,o107,o108,o109,o110,o111,o112,o113,o114,o115,o116,o117,o118,o119,o120,o121,o122,o123,o124,o125,o126,o127,o128,o129,o130,o131,o132,o133,o134,o135,o136,o137,o138,o139,o140,o141,o142,o143,o144,o145,o146,o147,o148,o149,o150,o151,o152,o153,o154,o155,o156,o157,o158,o159,o160,o161,o162,o163,o164,o165,o166,o167,o168,o169,o170,o171,o172,o173,o174,o175,o176,o177,o178,o179,o180,o181,o182,o183,o184,o185,o186,o187,o188,o189,o190,o191,o192,o193,o194,o195,o196,o197,o198,o199,o200,o201,o202,o203,o204,o205,o206,o207,o208,o209,o210,o211,o212,o213,o214,o215,o216,o217,o218,o219,o220,o221,o222,o223,o224,o225,o226,o227,o228,o229,o230,o231,o232,o233,o234,o235,o236,o237,o238,o239,o240,o241,o242,o243,o244,o245,o246,o247,o248,o249,o250,o251,o252,o253,o254,o255,o256,o257,o258,o259,o260,o261,o262,o263,o264,o265,o266,o267,o268,o269,o270,o271,o272,o273,o274,o275,o276,o277,o278,o279,o280,o281,o282,o283,o284,o285,o286,o287,o288,o289,o290,o291,o292
0.095774751,0.547747265,0,0,0.003971832,0,0,0,0.000170569,0,0.000852847,0,0,0,0,8.53E-05,0,0,0,0,0,2.44E-05,0.000779746,0.000280221,0,0,0.000255854,0,0.001778796,0.000475158,0.001425473,4.87E-05,0,0,0.000389873,0.019201248,0.000109652,0.000170569,0,0,0,0,0,0.000925948,0,0.004885597,0,0.004934331,0,0.001608226,0.008589391,0.016301567,3.66E-05,0,0,0,0.000328955,0,0,0.003301737,0,0,0,0,0,0.000779746,0,1.22E-05,0,0.000706645,0.000134019,0.001072151,0.024927508,0.00975901,0.000938132,0,0,0.000292405,0,4.87E-05,0,0,0,0.000341139,7.31E-05,0.000572626,0,0,0,0,0,0,0,0,0,0,0,0.002095568,0,0,0.000182753,0,0.010660591,0.000146202,0.000596993,0,0,0,0,0,0,0,2.44E-05,0.001985916,0.023173079,0.004337338,0.006250152,0.004909964,0.023916275,0.010075782,0.001815346,0,0,0,1.22E-05,0,0,0,0,0,0.004788128,0,0.000134019,0.0010356,2.44E-05,7.31E-05,0,8.53E-05,0,0,0,2.44E-05,0.001839713,0.000170569,0.000158386,0,0.003374839,0.001559492,0,0.001047784,0.000328955,0.002217403,0.002534175,0.00079193,0,0.000389873,0,3.66E-05,0,0,0.000231487,0.001644777,0,0,0,0,0.000219304,0.002302688,0,0.002144302,0,0.003996199,7.31E-05,0,0,0,0,0,0,0,0.000194937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001267087,0,0,0,0,0,0,0,0,0,0,0.003216453,0,0,4.87E-05,0,0,0.000146202,0,0,0.000243671,0,0.002266137,0,0,0,0,0,0,0,0.001279271,0,0,0.000304588,0,0,0,0.006640025,0,0.000134019,0,0,0.00020712,0,0,0,0,0,0,0,0,0,0,0,9.75E-05,0,0,0.000572626,0.026645386,0,0.000255854,0,0,0,0,0,0,0,0.00058481,0,0.010465655,0,0,0,0,0,2.44E-05,0,0.000292405,0,0,0,0,0,0,2.44E-05,0,0.000986866,0,0.068179049,0,0,0,0,0,0.000402057
0.127778841,0.083812654,0,0,0.009207461,0,0,0,0,0.002588895,0.017491924,0,0.001384496,0.000866717,0,0,0,0,0,0,0,0,0,0,0.004682523,0,0.036964915,0,0.008757218,1.13E-05,0.000247633,0.001575849,0.001024302,0,0.013079547,0.029986155,0.000202609,0,0,0,0,0,0,0.009725239,0,0.000968022,0.001778458,0.03094292,0,0,0,0.038416947,7.88E-05,0,0,0,0,0,0,0.001148119,0,0,0,0,0,0.019011492,0,2.25E-05,0,0.008014318,0,0.00180097,0.001665898,0.001181887,0,0,1.13E-05,0,0,0,0,0,0,0.000191353,0.00211614,0.010006641,0,0,0,0,0,1.13E-05,0.000551547,9.00E-05,0,0,0,0.000123817,0,0,0,0,0.015094382,0.001553337,0.008374512,0,0,0,0,0,0,0,0,0.005132765,0.055120946,0.009680215,0.238189575,0.004243536,0.004997693,0.049931901,0,0,0,0,0.001024302,0.003219234,0,0.004378609,0,0,0.000776668,1.13E-05,0,0.001587105,0,0.000855461,0,0.001046814,0,0,0,0.000236377,0.000540291,0,0,0.000112561,0.000393962,0,0,0.004142232,1.13E-05,6.75E-05,0.004007159,1.13E-05,0,0.000348938,0,0.000281402,0,0,0,0,0,0,0,0,0,0,3.38E-05,0.003793294,0,0,0.00168841,0,0,0.003568172,0,0,0.000112561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000168841,0,0.006472237,0,2.25E-05,0,0,0,0,0,0,0,0,0,0,0,0.000416474,0,0,0,0,0,0,0,3.38E-05,0,0,0,0,0,0,0,9.00E-05,0,0,0.000348938,0.004524938,0,0,0.000348938,0,0.001845995,0,0,0,0,0,1.13E-05,0,0.000303914,0,0,2.25E-05,0,0,0,0.003635709,0,0,0.003984647,0.00037145,0,0.002870296,1.13E-05,0,0,0,0,0,0,0,0,0.000731644,0,0,0.000844205,0.000495267,0,0,0.000135073,0,0.000146329,0,1.13E-05,0,0.001609617,0,0,0,0.003556916,0,0.074335048,0,1.13E-05,0,0,0,0.000551547
0.015785363,0.012243282,0,0,0.001100025,0,0,0,7.70E-05,0,8.80E-05,1.10E-05,0.002640061,0.000341008,0,2.20E-05,0.00042901,0.000143003,0,0,0,0,0.000352008,0,0,0,5.50E-05,0,9.90E-05,1.10E-05,0.00303607,1.10E-05,0,0,2.20E-05,0.003322076,0.000110003,5.50E-05,3.30E-05,2.20E-05,0,5.50E-05,5.50E-05,0,0,0.000253006,0,0.000770018,0,0.00304707,0,0.006776156,1.10E-05,0,0,0,0,0,0,0.001188027,0,0,3.30E-05,0,0,0.001177027,0,0,0,0.00303607,0.000572013,0.000374009,0.000594014,0.008019184,0.00045101,0,0,0.000550013,0.000462011,0.000154004,0,0,0,0,0,0,0,0,1.10E-05,0,0,0,0,0.028512656,0,0,0,0.000352008,0,0,0,0,0.000539012,0.002431056,0,0,0,0,0,0,0,0,0,0.000209005,0.003322076,0.000660015,0.044133015,0.001210028,0.002211051,0.00045101,0.004048093,0,0,0,3.30E-05,0,0,0,0,0,4.40E-05,0,0,1.10E-05,0,0,0,0.000110003,0,0,0,0.000583013,0.000319007,0,0,0,0.000209005,0,0,0.000473011,0.000462011,0.077782789,0,0.000286007,7.70E-05,0.01826042,0,2.20E-05,0,0,0,0.006765156,0,0,0.000143003,0,6.60E-05,0,0,2.20E-05,0,0.014520334,0.00085802,0,0,0,0,0,0,0,0.002816065,3.30E-05,0,0,0,0,0,0,0,0.001034024,0,0,0,1.10E-05,0,0,6.60E-05,0.082325893,0,0,0,0,0,0,0,0,0,0,0,0,3.30E-05,0,0,0.000539012,0,0,4.40E-05,0,6.60E-05,0,0,0,4.40E-05,0,0,0,0.462516638,0,0,0,0.007788179,0,0,0.098045255,0,0,0.001045024,0,0,0,0,0,0,2.20E-05,0,0,0,0,0,0,0.001606037,0.003960091,0,1.10E-05,0.000110003,0,0.026785616,4.40E-05,0,0,0,0,0,0,0.00042901,0,3.30E-05,0,0,0,0,0,4.40E-05,0,3.30E-05,0,0,0,0.000517012,6.60E-05,0,0,0,5.50E-05,0,0.030635705,0.000671015,0,0,5.50E-05,0,0.001793041
0.138164899,0.038168842,0,0,0.006742636,0,0,0.000591459,0.000473167,0,0.013090966,0,0.001143488,0.000157722,0,0.00063089,0,0,0,0.000157722,0,0.000118292,0.018335239,0,0.003430464,0,0.012578368,0.000157722,0.011592603,0.001104057,0.000985766,0.000236584,7.89E-05,0,0.02980955,0.031662789,0.001853239,0.000157722,0.000749182,0.000354876,0,0,0.003351603,7.89E-05,0,0,0,0.003509325,0,7.89E-05,0,0.022120579,0,0,0,0,3.94E-05,3.94E-05,0,0.001498364,0,0,0,0,0,0.001853239,0,0,0,0.000276014,0,0.019912464,0.012184062,0.015575096,0,0,0.000157722,0.001498364,0,0.000788612,0,0.001301211,0,0,0.004021923,0,0,0,0,0,0,0.000197153,0.008438153,0,0,0,0.000118292,0.001537794,0,0,0.001104057,0,0.076534837,0.002050392,0.002326407,0,0,0,0,0,0,0,0,0.004573952,0.003548756,0.000788612,0.000670321,0.014628761,0.016363708,0.050155751,0.004692244,0,0.000591459,0,0.001222349,0.000946335,0,7.89E-05,0,0,0.03994322,0,0,0.002839005,0.001104057,0.027049407,0.000552029,0.031110761,0.000591459,0,0,0.000315445,0.00126178,0.000118292,0.000118292,0,3.94E-05,0,0,0.001222349,3.94E-05,0.000157722,0.003982493,0,0,0.001380072,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11095777,0,0.000906904,0,0,0,0,0,0.002760144,0.00887189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02913923,0,0,3.94E-05,0,0,0,0,0,0.000118292,0,0.000473167,0,0,0,0,0,0.002365837,0,0,0.00256299,0,0.000197153,0,0,0.000236584,0,0,0,0,0.00063089,0,0,0,0.000118292,3.94E-05,0,0.002208115,0,0,0,0,0.000236584,0,0,0,0.000236584,0.000236584,0,0,0,0,0,0,0.000709751,0.005323134,0,0,0.00441623,0,0.047474469,0.001143488,0.000591459,3.94E-05,0,0,0,7.89E-05,0.000197153,0,0.001182919,0,0.000354876,0,0,0,0,0,0,0.000433737,0,0,0,0,0,0,0,0,0,0.071842593,0,0,0,7.89E-05,7.89E-05,0.000512598
0.161386126,0.082392001,0,0,0.008728131,1.30E-05,0,0,0.00038907,0,0.033589687,0.000220473,0.004941186,0.001245023,0,0.000972674,1.30E-05,0,0,0,0,0.00051876,0.014214014,0,0.000168597,0,0.034692051,0,0.004863372,0,0.006406682,0.00025938,2.59E-05,0,0.019349735,0.01928489,0.000920798,3.89E-05,0,0,0,0,6.48E-05,0.001050488,0,0.00308662,0.001270961,0.036131609,0,0.000752201,0,0.053782406,1.30E-05,0,0,6.48E-05,0.000233442,0.000103752,0,0.005382131,0,0,0,0,0,0.001452527,0,0,0,0.003670224,0,0.002632705,0.000752201,0.002723488,0,0.000337194,0.001517372,0.015472006,0,0,0,0,0,0,0.00038907,0.000376101,0,0,0,0,0,0,0.000557667,0.000596574,0,0,0,0.001115333,0,0,0,0,0.005096814,0.007937023,0,0,0,0.001621124,0,0,0,0,0,0.021969471,0.036844904,0.008040775,0.002204728,0.006030581,0.011723968,0.056531832,0.000817046,0,0,0,0.001569248,0.000920798,2.59E-05,0.000207504,0,0.000402039,0.000103752,0,0.000246411,0,0,0.000687357,0,0.002918023,0,0,0,0.000337194,0.000453915,0,0,0,0,0.000881891,0,0.000830015,0.004214922,0.000855953,0.002399263,0,0,0.000194535,0,0.000505791,0,0,0,0.000363132,0,0,0.000181566,0,0,0.000570636,0.000233442,0.00206207,0,0,0.000350163,0,0,1.30E-05,0,0,0,0,0,0,0,0,0.00012969,0,0,0,0,0,0,0,0,0,0.000972674,0,0.034769865,0,0,0,0,0,0,0,0,0,0,0.002451139,0,0.000181566,0.000324225,0,0,0,0,0.000220473,0.000311256,0,0,0,0,0,0,0,0,0.000181566,0.004292736,0,0,0,0,0,0,0.000998612,0,0,0.001997225,0,0,0,0,0,0,0.000466884,0,0,0,0,0,0.000181566,0.001828628,0,0,0,0.00230848,0,0.027066285,0.004059294,0.000415008,0,0,0,0,1.30E-05,0.000933767,0,0,0.001724876,0,0,0.000298287,0,0,9.08E-05,0.000246411,0.001206116,0,0,0,0.000479853,0,0,0,0.009674867,0,0.191824348,0,0,0,6.48E-05,0,0.001776752
0.038493054,0.04754367,0,9.31E-05,0.000204849,0,0,0,0.000148981,0,0.000242095,0,0.00167604,0,1.86E-05,0,0.000521435,3.72E-05,0,0,0,0,0.000204849,0,0,1.86E-05,3.72E-05,0,0.000167604,3.72E-05,0.003705911,0,0,0,0,0.003221721,0,1.86E-05,0.000242095,0,0,0,0,3.72E-05,0,9.31E-05,0.000186227,0.003054117,0,0.000893888,0,0.010391448,1.86E-05,0,0,0,0.000689039,0,0,0.000502812,0,0,7.45E-05,0,0,0.001545681,0,0,0,0.013389698,0.000540057,1.86E-05,0.001247719,0.002588551,0,0,0.000186227,0.000912511,0.000111736,0.000446944,0,0,0,0,0,0,0,0,0,0.000651793,0,0.000167604,0.000167604,0.001284964,0,0,0,0.000223472,0,0,9.31E-05,0,0.000987001,0.002029871,0,0,0,3.72E-05,9.31E-05,0,0,0,0,0.001173228,0.005214347,0.001005624,0.002253343,0.003761779,0.001769153,0.000726284,0.008138106,0,0,0,3.72E-05,1.86E-05,0,0,0,0.000260717,0.001098737,0,0,0,0,0,0,0.000130359,0,0,0,0.000521435,0,0,0,0,3.72E-05,0,0,0.020149726,0.006052367,0.078513166,3.72E-05,0.06059816,0,7.45E-05,0,1.86E-05,0,1.86E-05,0,0.042403814,0,0,0,0.000111736,0.000521435,0,0,9.31E-05,0,0.016164475,0.000186227,0,0,0,0,0,0,0,0.004562554,0,0,0,0.001303587,0,0,0,0,0,9.31E-05,0,0,0,1.86E-05,0,7.45E-05,0.069909494,1.86E-05,0,0,0,0,0,0,0.000130359,0,0,0,0,3.72E-05,0.000521435,0,9.31E-05,0,0,0.000577303,1.86E-05,0.000260717,0,0,1.86E-05,0,0,0,0.000242095,0.412920407,0,7.45E-05,0,0.011266714,0,0,0.024861261,0,0,0.012141979,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000502812,0,0,0,0.001135983,0,0.002774777,0,0,0,0,0,0,0,0.000465567,0,9.31E-05,5.59E-05,0,0,0,0,0,0,0.000111736,0,0,0,9.31E-05,0,0,0,0,0.00083802,0,0.061287199,0.000465567,0,0,0,0,0.002644419
0.133700116,0.030313832,0,0,0.001549787,0,0,0,0.00029446,0,0.030189849,0,0,0.000402945,0,0,0,0,0,0,0,1.55E-05,0.001425804,0,0.002867106,0,0.132646261,0.004835335,0.016985664,0.000712902,0,0.00043394,0.001177838,0,0.006416118,0.063494769,0.001115847,0,0,0,0,0,0,0.000247966,0,0.000557923,0,0.057822549,0,0.000201472,0.000263464,0.03214258,0.001813251,7.75E-05,0.000278962,0,0.00051143,3.10E-05,0,0.003967454,0,0,0,0,0,0.00029446,0,0,0,0.000929872,0,0.000619915,0.00021697,0.02457962,0,0,0,0.010848508,0,0,0,0,0,0,0,7.75E-05,0,1.55E-05,0,0,0,0,0.004261914,0,0,0,0,0.00116234,0,0,0,0,0.033986827,0.017109647,0.000867881,0,0,0,0,0,0,0,0,0.015156916,0.021836497,0.010337079,0.010151104,0.009763657,0.030220845,0.044447888,0.000356451,0,0,0.0094537,0,0.002588144,0.000232468,0.009174738,0,0.00021697,0.00043394,0,0,0.000139481,0,0.000542425,0,0.001766757,0,0,0.012444789,0,0,0,0,0.000201472,0.004354901,0.005920186,0,0.008027896,7.75E-05,1.55E-05,0.001317319,0,0,0.001193336,0,1.55E-05,0,0,3.10E-05,0,0,0,0.001611778,0,0,0.000201472,0,0.004184425,0,0.000743898,0.000464936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000387447,0,0,0,0,0,0,0.01069353,0,0,0,0,0,0,0,0,0.002045719,0,0.001131344,0,0,0,0,0,1.55E-05,0,0.000170477,0,0,0.000387447,0,0,0,0,0,0,0,0.005098799,0,0,0.000108485,0,0,0,0.000402945,0,0,0,0,0.001100349,0,0,0,0,0.000325455,0,0,0,0,0,0.000139481,0.000960868,0,0,0,0.001317319,0,0.000960868,0.000371949,0,1.55E-05,0,0,0,0,0.001751259,0,0.095373886,0,0,0.000154979,0.001100349,0,0,0.001208834,0,0.001022859,0,0,0,0,0,0,0,0.008167377,0,0.035986052,0.000387447,0,0,0,0,0.000123983
0.088678801,0.052600577,0,0,0.004093774,0,0,0,0.000471226,0,0.276501541,0,0.012320591,0.000137441,1.96E-05,0.001256602,7.85E-05,0,0,0,0,5.89E-05,0.001030806,0,0.002189236,0,0.0484479,0,0.034330761,0.000363237,3.93E-05,0.000353419,0.000608667,0,0.04686733,0.060964835,5.89E-05,8.84E-05,0,1.96E-05,0,0,0,0,0,0.000392688,0.000677387,0.003062968,0,2.95E-05,0,0.002130333,0.000304333,0,0,0,0.00049086,2.95E-05,0,0.002591742,0,0,0,0,0,0.002778269,0,0,0,0.00596886,0.000294516,9.82E-06,0.000481043,0.005654709,0,0,0.000559581,2.95E-05,0,0,0,0,0,0,0.000471226,0.001128978,0,0,9.82E-06,0,0,0,0.000294516,2.95E-05,0,0,0,0,0,0,0,0,0.013537924,0,3.93E-05,0,0,0,0.000549763,4.91E-05,2.95E-05,0,5.89E-05,0.03710903,0.010023365,0.004555183,0.017572795,0.001531484,0.008305354,0.060493609,0,0,0,0.000579215,0.000206161,0.001855451,0.00049086,0.006714967,0,0,9.82E-06,2.95E-05,0,0.000559581,0,0.000274882,0,0.01450001,0,0.000127624,0.001128978,0.000441774,0,0,0,3.93E-05,0,0,0,0.000500677,0,0.000431957,0.002601559,0,9.82E-06,0.000687204,0,9.82E-06,0,0,0,0.003504742,0,0,0,0,0,0,0.000461409,0.000402505,0,8.84E-05,0.000628301,0,0,0.000373054,0,0,0,0,0.000971903,0,0,0,0.000618484,0,0,0,0,0.000471226,0,0,0,0,0,0,0.006057215,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000971903,0,0,9.82E-06,0,0,3.93E-05,0,0,0,0,0,0,0,0,0,0.000775559,0,0,9.82E-06,0,0,0,0.002994247,0,0,0,0,0.000137441,0,0,0.000549763,0,0,9.82E-06,0,0,0,0,0.001295871,0.007107655,0,0,0.001364591,0.017572795,0,0.004545365,0.004270484,0.004103591,0,0,0,0,3.93E-05,0.000500677,0,0.00115843,0,0,0,0.000431957,0,0,0.000117806,0,0.000903183,4.91E-05,0,0,0,0,0,0,0.004280301,0,0.089091123,0,0,0,3.93E-05,0,0
0.14245848,0.331739399,3.02E-05,0,0.002700134,0,0,0,0.000301691,0,0.000724058,3.02E-05,0.000256437,9.05E-05,0,9.05E-05,7.54E-05,0,0,0,0,0.000301691,7.54E-05,0,6.03E-05,0,4.53E-05,0,0.002202344,0.000196099,0.000844735,0,0,0,1.51E-05,0.00918649,0.000739143,0,0,0,0,0.000588297,6.03E-05,0.000648636,0,9.05E-05,1.51E-05,0.009337336,0,0.007647866,0,0.002534204,0,0,0,1.51E-05,0,0,0.002745388,0.002564373,0,0,0.000241353,0,0,0.001749808,0,0.01037817,0,0.007300922,0,0.003228093,0.002986741,0.002307936,0,0,0.000316776,0.000769312,0.001191679,0.000814566,0,1.51E-05,0,0,0.000241353,0,0,0,0,0,0,7.54E-05,0,0,0,0,0,7.54E-05,0,0,1.51E-05,0,0.001448117,0.002579458,0,0,0,0,0,0,0,0,0,0.010589353,0.000301691,0.00199116,0.002760472,0.005309761,0.017120963,0.001976076,0.003801306,0,0,0,0.000346945,0,0,0.000226268,0,3.02E-05,0.000241353,0,0,0.000181015,0,1.51E-05,0,0.002081668,0,0,0,0.001704554,0,0.000181015,0.000226268,0,0.000286606,0,0,0.005701959,0.000120676,0.001749808,0.00116151,0.002051499,0,0.01439066,0.000211184,0.001387778,0,0,0.006245003,0.000316776,0,0,1.51E-05,0,0.002383359,7.54E-05,6.03E-05,1.51E-05,0,0.000135761,0.006833301,0,0,0.000120676,0,0,0,0,0.002926402,0,1.51E-05,0,0.014662182,0,0,0,0,0,0,0,0,0,0,0,0.003740968,0.007044484,0,0,0,0,0,0,0,0,0,0,0,0,0.000135761,0.000422367,0,0.000286606,0,0,0.000407283,0,0.000558128,0,0,0,0,0,0,0,0.084820418,0,0,0,0.058678895,0,0,0.031858567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000120676,0,0,0,0.003409108,0,0.023592234,0,0,0,0,0,0,0,0.016291313,0,0.000814566,0.000135761,0,0,0,0,0,6.03E-05,3.02E-05,0,1.51E-05,0,3.02E-05,0.000241353,0,0,0,0.001930822,0,0.099090402,0,0,0,0,0,0.00218726
0.144593774,0.037273404,0,0,0.023397466,0,0.000128322,0,0.00254934,0,0.041995671,0,0.000667277,0.006416124,0,0.000119768,0,0,0,0.000128322,0,0.000162542,0.00382401,0,0.001745186,0,0.082537021,0,0.024894562,0.001676747,0.001642528,0.000359303,0.002412463,0,0.00711762,0.027657772,0.00384112,0.00049618,0,0,0,0,0,0.000111213,0,0.001651083,0.000769935,0.005620525,0.000153987,6.84E-05,0,0.01042834,0.000633058,0,0,8.55E-05,0,5.99E-05,0,0.235172337,0,0,0,0,0,0.002609224,0,0,0,0.008084316,1.71E-05,0.000213871,0,0.001172012,0,0,0.000222426,0.000196761,0,0,0,0,0,0,0.000205316,0.001266115,0,0,0,0,0,0,8.55E-06,0,0,0,0,0.000615948,0,0,0,0,0.00715184,0.003755571,0.004405739,0,0,0,0,0,0,0,0,0.014466221,0.074315827,0.004183313,0.027948637,0.00281454,0.008101426,0.050079988,0,0.000145432,0,0.001950502,0.000735716,0.003071185,0.003011301,0.002942862,0,0.000564619,0.00127467,4.28E-05,0,0.001745186,5.13E-05,0.00150565,0,0.00329361,0,0,0.003661468,0,0,0,0,0.002147263,0.00024809,0,0,0.000479071,0.000607393,0.001231896,0.012173526,0,0.000205316,0.000299419,8.55E-06,0.000615948,0,0.000171097,8.55E-06,0.000136877,0.000299419,0,0.000256645,0,0,0,0.000119768,0.005295441,0,0.001197677,8.55E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003952332,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000658722,0,0,0.000162542,0,0,0,0.000812709,0.00051329,0,0,0,0,0,0,0,0.000213871,0,0,0,8.55E-06,0,0,0.000556064,0,0,0,0,0.000102658,0,0,0.000119768,0,0.000273755,0,0,8.55E-06,0,0,0,0.000222426,0,0,0.001266115,0.000881148,0,0.000675832,0.003627249,0.000188206,0,0,0,0,0,0.000256645,0,0.016630594,0,0,0.000111213,5.99E-05,0,0,0.000581729,0,0,0,0,0,0,9.41E-05,0,0,0.002104489,0,0.034056787,0,1.71E-05,0,3.42E-05,0,7.70E-05
