o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27,o28,o29,o30,o31,o32,o33,o34,o35,o36,o37,o38,o39,o40,o41,o42,o43,o44,o45,o46,o47,o48,o49,o50,o51,o52,o53,o54,o55,o56,o57,o58,o59,o60,o61,o62,o63,o64,o65,o66,o67,o68,o69,o70,o71,o72,o73,o74,o75,o76,o77,o78,o79,o80,o81,o82,o83,o84,o85,o86,o87,o88,o89,o90,o91,o92,o93,o94,o95,o96,o97,o98,o99,o100,o101,o102,o103,o104,o105,o106,o107
0.095774751,0.547747265,0,0,0.003971832,0,0.001023417,8.53E-05,0,0.000804113,0.000280221,0.023855357,0,0.000925948,0,0.009819927,0.026499184,0.000365506,0,0.003301737,0,0,0,0,0.000779746,0,1.22E-05,0.037829869,4.87E-05,0,0,0.000341139,7.31E-05,0.000572626,0,0,0,0.002278321,0.010660591,0.000146202,0.000596993,2.44E-05,0.076463851,1.22E-05,0,0.004788128,0.000134019,0.001218353,0,0.007127367,0,0.001047784,0.000328955,0.016581788,0,0,0.000194937,0.001267087,0,0,0.003216453,0,0,4.87E-05,0.00265601,0.001279271,0.000304588,0.006640025,0.000134019,0.00020712,0,0,0,0,0,0,0,0,9.75E-05,0,0.000572626,0.026645386,0.000255854,0,0,0,0,0,0.00058481,0,0.010465655,0,0,0,0,0.000316772,0,0,0,0,0,0,2.44E-05,0,0.000986866,0.068179049,0.000402057
0.127778841,0.083812654,0,0,0.009207461,0,0.022332031,0,0,0,0,0.096532007,0,0.009725239,0,0.0336894,0.038416947,7.88E-05,0,0.001148119,0,0,0,0,0.019011492,0,2.25E-05,0.012674328,0,0,0,0.000191353,0.00211614,0.010006641,0,0.000652852,0,0.000123817,0.015094382,0.001553337,0.008374512,0,0.367296631,0.008622145,0,0.000787924,0,0.00348938,0,0.001283191,0,0.004142232,1.13E-05,0.010231762,0,0.003568172,0.000112561,0.00666359,0,0,0,0,0,0.000416474,3.38E-05,9.00E-05,0.004873876,0.000348938,0.001845995,0,0,1.13E-05,0,0.000303914,0,2.25E-05,0,0,0.003635709,0,0.003984647,0.00037145,0.002870296,1.13E-05,0,0,0,0,0,0,0.000731644,0,0,0.000844205,0.000495267,0.000135073,0.000146329,0,1.13E-05,0,0.001609617,0,0,0,0.003556916,0.074335048,0.000562803
0.015785363,0.012243282,0,0,0.001100025,0,0.003157073,2.20E-05,0.000572013,0.000352008,0,0.006776156,0.000110003,0,0,0.001023024,0.009823226,1.10E-05,0,0.001188027,0,0,3.30E-05,0,0.001177027,0,0,0.014058323,0.000154004,0,0,0,0,0,0,0.028523656,0,0.000352008,0.000539012,0.002431056,0,0,0.056244294,3.30E-05,0,4.40E-05,0,0.000121003,0,0.001111026,0,0.000473011,0.000462011,0.118802732,0,0,0.003883089,0.082402895,0,0,0,0,0,3.30E-05,0.000649015,0.462560639,0.007788179,0.098045255,0.001045024,0,0,0,0,2.20E-05,0,0,0,0,0.005566128,0,1.10E-05,0.000110003,0.026785616,4.40E-05,0,0,0,0,0.00042901,0,3.30E-05,0,0,0,0,7.70E-05,0,0,0,0.000517012,6.60E-05,0,0,0,5.50E-05,0.03130672,0.001848043
0.138164899,0.038168842,0,0,0.006742636,0.000591459,0.014865344,0.00063089,0,0.018611253,0,0.094751784,0.003351603,7.89E-05,0,0.003509325,0.02219944,7.89E-05,0,0.001498364,0,0,0,0,0.001853239,0,0,0.049603722,0.000788612,0.001301211,0,0,0.004021923,0,0,0.008635306,0,0.002760144,0.076534837,0.002050392,0.002326407,0,0.095422105,0.002839005,0,0.03994322,0,0.063246717,0,0.001853239,0,0.001222349,3.94E-05,0.117384961,0,0.002760144,0.00887189,0.02917866,0,0,0.000591459,0,0,0,0.005125981,0.000867474,0.000157722,0.002208115,0,0.000236584,0,0,0.000236584,0.000236584,0,0,0,0,0.006032885,0,0,0.00441623,0.047474469,0.001734947,3.94E-05,0,0,7.89E-05,0.000197153,0,0.001182919,0,0.000354876,0,0,0,0.000433737,0,0,0,0,0,0,0,0,0.071842593,0.000670321
0.161386126,0.082392001,0,0,0.008728131,1.30E-05,0.040385438,0.000972674,1.30E-05,0.014732774,0,0.086010349,6.48E-05,0.001050488,0,0.04048919,0.054534608,0.000415008,0,0.005382131,0,0,0,0,0.001452527,0,0,0.027105191,0,0,0,0,0.00038907,0.000376101,0,0.00115424,0,0.001115333,0.005096814,0.007937023,0,0.001621124,0.144163306,0.002723488,0,0.000505791,0.000246411,0.00360538,0,0.001673,0,0.000830015,0.004214922,0.00771655,0,1.30E-05,0.00012969,0.03574254,0,0,0.002451139,0,0.000181566,0.000324225,0.000531729,0.004474302,0,0.000998612,0.001997225,0,0,0,0,0.000466884,0,0,0,0,0.002010194,0,0,0.00230848,0.027066285,0.004474302,0,0,0,1.30E-05,0.000933767,0,0,0.001724876,0,0,0.000298287,0.000337194,0.001206116,0,0,0,0.000479853,0,0,0,0.009674867,0.191824348,0.001841597
0.038493054,0.04754367,0,9.31E-05,0.000204849,0,0.002067116,1.86E-05,0.00055868,0.000204849,0,0.007449067,0,3.72E-05,0,0.003333457,0.011285337,0.000707661,0,0.000502812,0,0,7.45E-05,0,0.001545681,0,0,0.018995121,0.000446944,0,0,0,0,0,0,0.002271965,0,0.000316585,0.000987001,0.002029871,0,0.000130359,0.024041864,5.59E-05,0,0.001359455,0,0.000130359,0,0.00055868,0,0.020149726,0.006052367,0.198741108,0,0,0.005959254,0.07002123,0,0,0.000130359,0,0,3.72E-05,0.001471191,0.413255615,0.011266714,0.024861261,0.012141979,0,0,0,0,0,0,0,0,0,0.000502812,0,0,0.001135983,0.002774777,0,0,0,0,0,0.000465567,0,9.31E-05,5.59E-05,0,0,0,0.000111736,0,0,0,9.31E-05,0,0,0,0,0.00083802,0.061752765,0.002644419
0.133700116,0.030313832,0,0,0.001549787,0,0.030887253,0,0,0.001441302,0,0.230685781,0,0.000247966,0,0.058380473,0.032607516,0.002712127,0,0.003967454,0,0,0,0,0.00029446,0,0,0.037194886,0,0,0,0,0,7.75E-05,0,0.004277412,0,0.00116234,0.033986827,0.017109647,0.000867881,0,0.142270438,0.021449051,0,0.00065091,0,0.002448663,0.012444789,0.010476559,0,0.008027896,7.75E-05,0.009779155,0,0,0.000387447,0.01069353,0,0,0.003177063,0,0,0,0.000573421,0.005098799,0.000108485,0.000402945,0,0.001100349,0,0,0,0.000325455,0,0,0,0,0.001100349,0,0,0.001317319,0.000960868,0.000371949,1.55E-05,0,0,0,0.001751259,0,0.095373886,0,0,0.000154979,0.001100349,0.001208834,0.001022859,0,0,0,0,0,0,0,0.008167377,0.036373499,0.000123983
0.088678801,0.052600577,0,0,0.004093774,0,0.289430799,0.001276236,7.85E-05,0.00108971,0,0.194331547,0,0,0,0.004133043,0.002159785,0.000824645,0,0.002591742,0,0,0,0,0.002778269,0,0,0.012997978,0,0,0,0,0.000471226,0.001128978,0,0.000333785,0,0,0.013537924,0,3.93E-05,0.000687204,0.139590819,0.009846655,0,3.93E-05,0,0.015462096,0.001128978,0.000481043,0,0.000500677,0,0.008825666,0,0.000373054,0.002061613,0.006057215,0,0,0,0,0,0.000971903,4.91E-05,0.000775559,9.82E-06,0.002994247,0,0.000137441,0,0.000549763,0,0,9.82E-06,0,0,0,0.008403526,0,0.001364591,0.017572795,0.004545365,0.008374075,0,0,0,3.93E-05,0.000500677,0,0.00115843,0,0,0,0.000431957,0.000117806,0.000903183,4.91E-05,0,0,0,0,0,0,0.004280301,0.089091123,3.93E-05
0.14245848,0.331739399,3.02E-05,0,0.002700134,0,0.001402863,9.05E-05,7.54E-05,0.000377114,0,0.013289488,0.000648636,0.000648636,0,0.009442928,0.010182071,1.51E-05,0.002745388,0.002564373,0,0,0.000241353,0,0.001749808,0,0.01037817,0.018101459,0.000814566,1.51E-05,0,0,0.000241353,0,0,7.54E-05,0,9.05E-05,0.001448117,0.002579458,0,0,0.043850784,0.000573213,0,0.000271522,0,0.002277767,0,0.002398443,0,0.005701959,0.000120676,0.037032568,0,0.000120676,0.017603669,0.010785452,0,0,0,0,0,0.000135761,0.001674385,0.084820418,0.058678895,0.031858567,0,0,0,0,0,0,0,0,0,0,0.000120676,0,0,0.003409108,0.023592234,0,0,0,0,0,0.016291313,0,0.000814566,0.000135761,0,0,0,9.05E-05,0,1.51E-05,0,3.02E-05,0.000241353,0,0,0,0.001930822,0.099090402,0.00218726
0.144593774,0.037273404,0,0,0.023397466,0.000128322,0.051628412,0.000119768,0,0.004114874,0,0.154380502,0,0.000111213,0,0.008195529,0.010496779,0.00077849,0,0.235172337,0,0,0,0,0.002609224,0,0,0.009906496,0,0,0,0,0.000205316,0.001266115,0,8.55E-06,0,0.000615948,0.00715184,0.003755571,0.004405739,0,0.181909952,0.011856997,0,0.001882063,0,0.006595776,0.003661468,0.002395353,0,0.000479071,0.000607393,0.022028693,0,0,0,0.003952332,0,0,0,0,0,0.000658722,0.001488541,0.000213871,8.55E-06,0.000556064,0,0.000102658,0,0.000119768,0,0.000273755,0,8.55E-06,0,0,0.000222426,0,0.001266115,0.000881148,0.000675832,0.003815455,0,0,0,0,0.000256645,0,0.016630594,0,0,0.000111213,5.99E-05,0.000581729,0,0,0,0,0,9.41E-05,0,0,0.002104489,0.034056787,0.000128322
