trt,rep,city,Taxon,Gloniaceae,Elaphomycetaceae,Discinaceae,Pezizaceae,Pyronemataceae,Tuberaceae,Chaetosphaeriacea,Amanitaceae,Cortinariaceae,Hydnangiaceae,Inocybaceae,Strophariaceae,Tricholomataceae,Atheliaceae,Boletaceae,Gyroporaceae,Paxillaceae,Rhizopogonaceae,Sclerodermataceae,Suillaceae,Cantharellaceae,Clavulinaceae,Hydnaceae,Hysterangeaceae,Albatrellaceae,Russelaceae,Sebacinaceae,Bankeraceae,Thelaphoraceae
Ref,Ref Baltimore,Baltimore,14,258,4,0,1,0,11,0,22,452,9,536,0,28397,0,23,0,0,0,0,0,0,85,558,0,0,5536,0,0,25
Ref,Ref Baltimore,Baltimore,15,0,0,2,0,36,225,0,393,21,0,1157,0,0,324,0,6,0,0,0,0,0,0,0,0,0,17,0,0,6
Ref,Ref Baltimore,Baltimore,16,9,2,0,0,3,0,397,0,74,0,0,0,58,0,29,56,0,0,0,0,0,0,0,0,0,240,0,0,96
Ref,Ref Baltimore,Baltimore,17,237,0,0,0,0,0,3,11180,9968,2,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,53939,0,0,717
Ref,Ref Baltimore,Baltimore,18,5,2113,0,0,0,1,0,12625,16357,153,0,0,0,9979,131,0,0,0,0,0,0,896,0,0,0,12500,1866,0,344
Rem,Rem Baltimore,Baltimore,1,0,0,0,0,0,0,12,1,0,0,124,0,6,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,29
Rem,Rem Baltimore,Baltimore,3,39,0,0,0,0,2592,0,26,0,0,615,0,0,0,0,0,0,0,94,0,0,7484,0,0,0,35740,0,0,8892
Rem,Rem Baltimore,Baltimore,6,28,0,35,9,8,69,29,3254,0,0,2277,0,5,0,245,70,0,0,0,0,0,3754,1,0,0,2165,0,0,0
Rem,Rem Baltimore,Baltimore,9,5,0,0,0,0,0,8,136,14,0,21,0,18,0,85,972,0,0,0,0,0,448,0,0,0,3012,0,0,94
Rem,Rem Baltimore,Baltimore,11,0,18,129,117,201,396,0,2431,3,0,5626,0,0,72,6,0,0,0,0,0,0,0,0,0,0,37990,0,0,694
Rud,Rud Baltimore,Baltimore,2,0,0,0,0,0,8,3,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Rud,Rud Baltimore,Baltimore,4,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,4
Rud,Rud Baltimore,Baltimore,8,8,0,0,0,0,3,0,0,0,0,357,1,64,0,0,63,0,0,48,0,0,0,0,0,0,79,0,0,233
Rud,Rud Baltimore,Baltimore,10,0,0,0,0,0,0,437,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,18
Rud,Rud Baltimore,Baltimore,19,0,0,0,0,0,0,0,2,1,0,1,0,64,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0
Turf,Turf Baltimore,Baltimore,5,1,0,0,0,43,46,323,0,0,0,28,0,27,0,0,10,0,0,0,0,0,0,0,0,0,331,0,0,0
Turf,Turf Baltimore,Baltimore,7,0,0,0,0,17,0,971,0,0,0,0,0,30,0,0,0,0,0,25,0,0,0,0,0,0,324,0,0,0
Turf,Turf Baltimore,Baltimore,12,0,0,0,0,79,0,82,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,426,0,0,0
Turf,Turf Baltimore,Baltimore,13,0,0,0,0,0,0,63,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0
Turf,Turf Baltimore,Baltimore,20,0,0,0,0,1,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
Ref,Ref Helsinki,Helsinki,21,0,0,0,0,0,0,0,3,417,261,6,0,0,1642,0,0,0,0,0,0,5,0,0,0,0,1140,0,0,8
Ref,Ref Helsinki,Helsinki,22,7,0,0,0,0,1,48,317,64,0,1,1,5,2103,0,0,0,23,0,0,0,0,0,0,0,65369,0,0,53
Ref,Ref Helsinki,Helsinki,23,2,0,0,0,0,0,0,122,53,3,1291,0,0,409,34,0,0,0,0,0,0,62,0,0,0,1683,0,0,34
Ref,Ref Helsinki,Helsinki,24,0,0,1,0,0,0,3,8409,6,2,281,0,1,226,401,0,0,0,0,31,0,0,0,0,0,1216,0,0,92
Ref,Ref Helsinki,Helsinki,25,3,2,0,0,0,0,0,0,179,145,0,0,0,4395,0,0,0,0,0,9,0,0,0,1,0,1508,0,0,3
Rud,Rud Helsinki,Helsinki,26,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Rud,Rud Helsinki,Helsinki,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3
Rud,Rud Helsinki,Helsinki,28,0,0,0,0,0,0,0,0,18,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4
Rud,Rud Helsinki,Helsinki,29,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,18
Rud,Rud Helsinki,Helsinki,30,0,0,0,0,0,0,0,13,3,0,21,0,9,24,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0
Turf,Turf Helsinki,Helsinki,31,0,0,0,0,0,0,3,2,0,0,23,5,14,37,0,0,3,0,23,0,0,0,0,0,0,4,0,0,61
Turf,Turf Helsinki,Helsinki,32,0,0,0,0,0,0,0,2,6,0,8,0,17,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,26
Turf,Turf Helsinki,Helsinki,33,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Turf,Turf Helsinki,Helsinki,34,0,0,0,0,0,0,0,1,4,0,486,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
Turf,Turf Helsinki,Helsinki,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Rem,Rem Helsinki,Helsinki,36,0,0,0,0,0,0,0,171,54,0,0,0,0,101,75,0,0,0,0,0,0,0,0,0,0,9,0,0,8
Rem,Rem Helsinki,Helsinki,37,0,0,0,0,0,0,36,8,53,40,27,0,0,828,28,0,0,0,0,0,0,0,0,0,0,39,0,0,26
Rem,Rem Helsinki,Helsinki,38,4,0,0,0,0,0,0,9,0,0,0,0,0,828,7,0,0,0,0,0,9,0,0,0,0,72,0,0,1
