Taxon,Intensity,landuse,city,Richness.fam,Richness.otu,Gloniaceae,Elaphomycetaceae,Discinaceae,Pezizaceae,Pyronemataceae,Tuberaceae,Chaetosphaeriaceae,Amanitaceae,Cortinariaceae,Hydnangiaceae,Hygrophoraceae,Inocybaceae,Strophariaceae,Tricholomataceae,Atheliaceae,Boletaceae,Gyroporaceae,Paxillaceae,Rhizopogonaceae,Sclerodermataceae,Suillaceae,Cantharellaceae,Clavulinaceae,Hydnaceae,Hysterangiaceae,Albatrellaceae,Russulaceae,Sebacinaceae,Bankeraceae,Thelephoraceae,
1,Low,Rem,Baltimore,5,12,0,0,0,0,0,0,3,0,0,0,0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,8,75
2,High,Rud,Baltimore,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8
3,Low,Rem,Baltimore,8,34,8,0,0,0,0,615,0,2,0,0,0,151,0,0,0,0,0,0,0,26,0,0,1664,0,0,0,7830,0,0,1945,12241
4,High,Rud,Baltimore,3,4,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4,32
5,High,Turf,Baltimore,8,11,1,0,0,0,16,8,98,0,0,0,0,8,0,7,0,0,1,0,0,0,0,0,0,0,0,0,87,0,0,0,226
6,Low,Rem,Baltimore,13,49,14,0,16,5,3,27,7,1213,0,0,0,839,0,3,0,89,24,0,0,0,0,0,1428,0,0,0,783,0,0,0,4451
7,High,Turf,Baltimore,5,7,0,0,0,0,4,0,339,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,98,0,0,0,452
8,High,Rud,Baltimore,7,15,1,0,0,0,0,0,0,0,0,0,0,77,0,16,0,0,12,0,0,11,0,0,0,0,0,0,18,0,0,40,175
9,Low,Rem,Baltimore,11,42,3,0,0,0,0,0,1,44,3,0,0,5,0,5,0,20,267,0,0,0,0,0,143,0,0,0,901,0,0,36,1428
10,High,Rud,Baltimore,4,4,0,0,0,0,0,0,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,77
11,Low,Rem,Baltimore,11,58,0,5,30,27,49,92,0,617,0,0,0,1378,0,0,23,2,0,0,0,0,0,0,0,0,0,0,9630,0,0,172,12025
12,High,Turf,Baltimore,5,5,0,0,0,0,42,0,35,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,295
13,High,Turf,Baltimore,3,3,0,0,0,0,0,0,22,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,47
14,Low,Ref,Baltimore,12,46,50,0,0,0,0,2,0,5,66,1,0,91,0,5174,0,4,0,0,0,0,0,0,21,107,0,0,1102,0,0,7,6630
15,Low,Ref,Baltimore,9,16,0,0,0,0,9,78,0,127,6,0,0,353,0,0,121,0,1,0,0,0,0,0,0,0,0,0,5,0,0,2,702
16,Low,Ref,Baltimore,9,15,1,0,0,0,1,0,85,0,21,0,0,0,0,14,0,4,6,0,0,0,0,0,0,0,0,0,43,0,0,20,195
17,Low,Ref,Baltimore,7,64,39,0,0,0,0,0,1,2143,1903,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,10508,0,0,135,14751
18,Low,Ref,Baltimore,11,84,1,364,0,0,0,0,0,2143,2785,16,0,0,0,0,1712,23,0,0,0,0,0,0,140,0,0,0,2113,341,0,57,9695
19,High,Rud,Baltimore,3,7,0,0,0,0,0,0,0,2,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,75
20,High,Turf,Baltimore,2,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,23
21,Low,Ref,Helsinki,6,20,0,0,0,0,0,0,0,0,124,0,79,3,0,0,479,0,0,0,0,0,0,0,0,0,0,0,321,0,0,3,1009
22,Low,Ref,Helsinki,8,37,0,0,0,0,0,0,6,52,14,0,0,0,0,1,342,0,0,0,5,0,0,0,0,0,0,0,10333,0,0,8,10761
23,Low,Ref,Helsinki,10,38,2,0,0,0,0,0,0,99,42,0,2,1046,0,0,333,30,0,0,0,0,0,0,53,0,0,0,1365,0,0,28,3000
24,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
25,Low,Ref,Helsinki,6,22,0,0,0,0,0,0,0,0,41,0,39,0,0,0,1220,0,0,0,0,0,2,0,0,0,0,0,386,0,0,2,1690
26,High,Rud,Helsinki,2,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7
27,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28,High,Rud,Helsinki,4,6,0,0,0,0,0,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,30
29,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
30,High,Rud,Helsinki,6,7,0,0,0,0,0,0,0,4,0,0,0,3,0,6,16,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,32
31,High,Turf,Helsinki,10,14,0,0,0,0,0,0,3,2,0,0,0,12,3,11,21,0,0,2,0,12,0,0,0,0,0,0,2,0,0,31,99
32,High,Turf,Helsinki,6,8,0,0,0,0,0,0,0,0,1,0,0,5,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,16
33,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
34,High,Turf,Helsinki,6,6,0,0,0,0,0,0,0,1,4,0,0,385,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,394
35,High,Turf,Helsinki,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
36,Low,Rem,Helsinki,6,20,0,0,0,0,0,0,0,131,44,0,0,0,0,0,85,57,0,0,0,0,0,0,0,0,0,0,9,0,0,5,331
37,Low,Rem,Helsinki,9,24,0,0,0,0,0,0,17,5,26,0,21,11,0,0,365,8,0,0,0,0,0,0,0,0,0,0,19,0,0,10,482
38,Low,Rem,Helsinki,7,27,3,0,0,0,0,0,0,9,0,0,0,0,0,0,740,7,0,0,0,0,0,8,0,0,0,0,61,0,0,1,829
39,Low,Rem,Helsinki,7,15,0,0,0,0,0,0,0,0,1,0,120,0,1,0,414,25,0,0,0,0,0,0,0,0,0,0,111,0,0,3,675
40,Low,Rem,Helsinki,10,37,1,0,0,0,9,0,0,0,1,0,0,73,0,0,1159,0,0,0,2,0,0,2,0,15,0,0,80,0,0,7,1349
41,Low,Ref,Lahti,5,14,0,0,0,0,0,0,0,0,6,0,0,10,0,0,135,0,0,0,0,0,0,0,0,0,0,0,160,0,0,12,323
42,Low,Ref,Lahti,7,16,0,0,0,0,0,0,16,0,7,3,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,6,0,0,32,86
43,Low,Ref,Lahti,5,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,62,0,0,9,88
44,Low,Ref,Lahti,6,30,0,0,0,0,0,0,0,0,104,0,0,537,0,0,67,0,0,0,0,0,0,0,0,0,0,5,6,0,0,37,756
45,Low,Ref,Lahti,6,29,0,0,0,0,1,0,0,0,100,0,0,2069,0,0,500,0,0,0,0,0,0,0,0,0,0,0,24,0,0,17,2711
46,High,Rud,Lahti,3,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16
47,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
48,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
49,High,Rud,Lahti,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
50,High,Rud,Lahti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,High,Turf,Lahti,4,4,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,9
52,High,Turf,Lahti,7,9,0,0,0,0,0,0,0,0,6,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,19
53,High,Turf,Lahti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,High,Turf,Lahti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,High,Turf,Lahti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,High,Rem,Lahti,10,18,0,0,0,0,0,4,1,15,11,0,0,2,1,0,25,1,0,0,0,0,0,0,0,0,0,0,56,0,0,11,127
57,Low,Rem,Lahti,5,11,0,0,0,0,0,0,0,0,0,0,0,109,0,0,15,0,0,0,3,0,0,0,0,0,0,0,93,0,0,2,222
58,Low,Rem,Lahti,5,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,28,0,0,1,35
59,Low,Rem,Lahti,12,30,0,0,0,0,18,0,0,7,42,0,1,1,13,0,90,4,0,0,5,0,0,0,0,0,0,0,364,0,1,29,575
60,Low,Rem,Lahti,9,33,0,0,0,0,12,0,0,0,6,0,0,14,11,0,63,0,0,0,4,0,18,0,0,0,0,0,104,0,0,36,268
61,Low,Ref,Budapest,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7
62,Low,Ref,Budapest,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
63,Low,Ref,Budapest,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
64,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
