A,TRT,CITY,its,16s,AOA,AOB,PICRUStAmoa,logaob,logaoa,F_Pathotroph,F_Symbiotroph,F_Saprotroph,Arch_acid,Arch_Meth,Arch_Amoa,logArchAMOA,BacteriaPielou,ArchaeaPielou,FungiPielou,bacgenes,archgenes
1,T2,C1,95720723.7,58683381736,163246101.9,171547.7728,88,5.234385084,8.21284282,0.000255854,0.003374837,0.000962499,1,3,10711,4.029830019,0.726704661,0.371255649,0.449971769,5.27E+10,6.00E+09
2,T4,C1,37110387.94,48727575987,23382013.65,12212.01447,2,4.08678731,7.36888191,0.002870297,0.003523147,0.001879763,4,59,8479,3.928344635,0.760286302,0.355698786,0.641719661,4.53E+10,3.42E+09
3,T2,C1,196910849.7,58609427397,66448481.6,14025.59613,24,4.146921329,7.822485061,0.02735763,0.610932056,0.000154004,2,4,726,2.860936621,0.701693745,0.430048639,0.451756223,5.82E+10,3.63E+08
4,T4,C1,17589364.06,39511663873,6066632.122,10269.49961,132.3333333,4.011549283,6.78294766,0.050234613,0.005244272,0.001616655,15,271,2244,3.351022853,0.742067007,0.509852053,0.7275104,3.84E+10,1.12E+09
5,T3,C1,15730559.24,40363660466,21624913.68,171569.545,112,5.2344402,7.334954383,0.031333082,0.014706838,0.000311256,13,15,4443,3.647676313,0.778478562,0.343271296,0.700738585,3.85E+10,1.85E+09
6,T2,C1,571216727,44520922932,1838556.129,25035.45387,0,4.398555469,6.264476893,0.00286789,0.222708482,0.000800774,28,13,362,2.558708571,0.720573572,0.523556976,0.535698892,4.39E+10,6.69E+08
7,T3,C1,45335739.17,40366597593,114279086.1,5473.370521,8,3.738254849,8.057966759,0.001348315,0.032561023,0.000557924,1,9,9617,3.983039616,0.751395648,0.414280045,0.696048427,3.67E+10,3.67E+09
8,T4,C1,19690574.11,50439122787,141278892,52494.78333,89,4.720116148,8.15007728,0.008511515,0.02180401,3.93E-05,3,4,27210,4.434728542,0.762093692,0.347464331,0.597735527,4.16E+10,8.86E+09
9,T2,C1,52951611.66,1.03E+11,138445.1997,30282.38258,40,4.481190042,5.141277902,0.024059855,0.073114808,0.000708974,8,8,849,2.92890769,0.748805868,0.52402103,0.571529346,1.02E+11,1.02E+09
10,T4,C1,9875011.98,24025392100,17365959.42,18178.74457,28.33333333,4.259563887,7.239698782,0.003926667,0.007921775,0.0002652,18,91,15360,4.186391216,0.745383841,0.363942817,0.598007949,2.19E+10,2.15E+09
11,T2,C1,206493963.4,25281500747,597156.5859,5023.486883,56,3.701005273,5.776088226,0.009937669,0.6030875,0.00003793,6,13,145,2.161368002,0.725054055,0.689569257,0.456421269,2.52E+10,9.75E+07
12,T3,C1,47493634.77,57163503143,306571401,35030.62941,24,4.54444794,8.486531639,0.001002764,0.017218185,0.002861545,3,2,11452,4.058881339,0.767840196,0.379248288,0.711235145,4.99E+10,7.28E+09
13,T3,C1,12648657.81,41307948143,108050442.6,23417.02117,40,4.369531649,8.03362655,0.00431637,0.005417307,0,5,10,13263,4.12264177,0.732669764,0.323926289,0.689594942,3.80E+10,3.30E+09
14,T1,C1,87425565.08,49755629083,394287.3859,14788.03492,16,4.169910467,5.595812883,0.013165197,0.326864461,0.0005277,3,5,91,1.959041392,0.691851977,0.584268154,0.497966969,4.97E+10,1.04E+08
15,T1,C1,54418561.98,26301844279,1990771.013,5213.508517,104,3.717130087,6.299021308,0.035437817,0.034882613,0.00236358,8,6,119,2.075546961,0.716594196,0.537770378,0.61024622,2.62E+10,1.15E+08
16,T1,C1,35868850.74,41759909497,1387709.858,29503.904,200,4.469879486,6.142298673,0.04465766,0.009988398,0.001067224,7,8,1490,3.173186268,0.70239817,0.351703849,0.682684674,4.14E+10,3.14E+08
17,T1,C1,745700355.5,37016854041,801151.8216,7618.211403,8,3.88185302,5.903714824,2.91E-05,0.738156645,0.00187128,34,115,59,1.770852012,0.689973946,0.546713922,0.438148372,3.67E+10,3.64E+08
18,T1,C1,166492099.9,22781551162,329094.4799,14086.43415,0,4.148801069,5.517320598,0.000629616,0.484736071,4.25E-05,32,26,145,2.161368002,0.677140155,0.420909671,0.558931603,2.25E+10,2.40E+08
19,T4,C1,3748418.24,39623784731,127144795.9,14524.25037,175.3333333,4.162093727,8.104298589,0.011078817,0.005265857,0.001880663,28,605,7429,3.870930358,0.779026056,0.444103206,0.711956701,3.69E+10,2.70E+09
20,T3,C1,15773034.46,49545929954,74754.61657,11264.01457,16,4.051693203,4.873638018,0.001747379,0.001154519,0,1,60,10742,4.031085148,0.784751693,0.382976192,0.75572216,4.38E+10,5.71E+09
21,T1,C2,1836599351,16548745560,175456.0241,3626.511977,0,3.559489116,5.244168284,0.000649681,0.049290998,0.00028247,3,3,5,0.698970004,0.550948889,0.552739375,0.292084995,1.65E+10,2.27E+07
22,T1,C2,78612155.48,79378403559,108888.4661,4210.551909,0,3.624339026,5.03698188,0.032359534,0.536798648,0.000715606,4,4,20,1.301029996,0.392116638,0.62088422,0.422200056,7.93E+10,7.94E+07
23,T1,C2,203437390.6,57312299968,702600.5016,4114.804236,0,3.614349178,5.846708455,0.081072232,0.151135666,0.000122775,3,5,11,1.041392685,0.41775885,0.515574855,0.487702095,5.72E+10,6.80E+07
24,T1,C2,149685961.8,75084720524,5585465.508,7894.179597,0,3.897307003,6.747059374,0.024274036,0.535834298,0.000551683,1,0,320,2.505149978,0.444600208,0.555046138,0.479298316,7.44E+10,7.05E+08
25,T1,C2,120644705.5,30605462576,11370.28884,1990.281588,0,3.298914525,4.055771497,0.008073709,0.084807859,0,0,0,11,1.041392685,0.365032953,0.558048018,0.45662892,3.06E+10,3.76E+07
