TRT,CITY,ph,humus,orgC,caco3,al.k20,al.p2o5,nh4.n,no3.n,tot.n,k.a,Sat.perc,NormalHigh,Normallow,Averageprecip,days precip
2,1,6.33,5,2.9,0,174,32,7.24,6.52,0.24,67,74,31.7,-1.6,1034,111
4,1,6.59,2.29,1.33,0,83.9,33.8,2.9,1.45,0.127,34,38,31.7,-1.6,1034,111
2,1,5.23,2.81,1.63,0,45.9,39.8,3.03,0,0.123,36,40,31.7,-1.6,1034,111
4,1,6.54,1.42,0.83,0,61.4,32.2,2.52,0.5,0.063,32,36,31.7,-1.6,1034,111
3,1,5.75,2.69,1.56,0,101,62.5,2.6,1.04,0.107,40,44,31.7,-1.6,1034,111
2,1,4.54,5.21,3.02,0,75.5,61.6,5.37,1.07,0.193,51,56,31.7,-1.6,1034,111
3,1,6.03,3.91,2.27,0,146,207,3.12,2.6,0.18,45,50,31.7,-1.6,1034,111
4,1,7.54,4.78,2.77,2.38,115,425,3.43,4.41,0.187,39,43,31.7,-1.6,1034,111
2,1,5.42,4.97,2.88,0,255,38.4,3.22,0.54,0.163,48,53,31.7,-1.6,1034,111
4,1,7.5,2.39,1.39,1.61,149,78.3,3.33,3.89,0.107,38,41,31.7,-1.6,1034,111
2,1,5.03,5.68,3.29,0,83.7,45,4.84,0.54,0.207,50,55,31.7,-1.6,1034,111
3,1,6.95,6,3.48,0,166,288,3.89,5,0.25,55,60,31.7,-1.6,1034,111
3,1,5.8,3.7,2.14,0,118,55.2,3.33,2.78,0.193,47,52,31.7,-1.6,1034,111
1,1,4.91,5.33,3.09,0,124,31.3,3.7,0,0.193,67,74,31.7,-1.6,1034,111
1,1,5.24,3.94,2.28,0,100,29.1,2.87,0.57,0.16,58,64,31.7,-1.6,1034,111
1,1,6.42,5.63,3.26,0,216,18.1,5.55,2.78,0.257,73,80,31.7,-1.6,1034,111
1,1,4.14,5.39,3.13,0,90.1,36.3,3.2,0,0.143,70,77,31.7,-1.6,1034,111
1,1,4.54,4.76,2.76,0,86.2,26.7,3.45,0.57,0.117,60,66,31.7,-1.6,1034,111
3,1,7.2,4.42,2.57,1.49,177,132,3.89,2.78,0.187,48,53,31.7,-1.6,1034,111
1,2,3.92,46.51,26.98,0,311,215,44,6.66,1.09,255,281,22,-4,750,180
1,2,4.46,54.53,31.63,0,560,217,81.3,9.33,1.34,375,413,22,-4,750,180
1,2,4.35,62.55,36.28,0,522,325,76,6.66,1.85,400,440,22,-4,750,180
1,2,4.33,28.47,16.51,0,157,110,44,33.3,0.893,182,200,22,-4,750,180
4,2,5.43,13.23,7.67,0,253,78,9.03,4.17,0.383,77,85,22,-4,750,180
4,2,6.19,4.21,2.44,0,517,183,5.37,37.1,0.2,39,42,22,-4,750,180
4,2,6.01,1.65,0.96,0,86.5,44.5,3.24,7.87,0.073,40,44,22,-4,750,180
4,2,6.34,2.78,1.61,0,173,122,3.24,19.9,0.11,30,33,22,-4,750,180
4,2,6.3,3.72,2.16,0,97.1,176,3.15,14.9,0.12,31,34,22,-4,750,180
3,2,5.84,6.27,3.64,0,277,163,5.77,26.9,0.303,61,67,22,-4,750,180
3,2,5.33,6.81,3.95,0,293,121,7.69,3.2,0.37,64,70,22,-4,750,180
3,2,6.86,6.79,3.94,0,148,109,2.52,21.2,0.233,45,50,22,-4,750,180
3,2,5.48,18.44,10.7,0,424,163,17.9,59,0.503,59,65,22,-4,750,180
3,2,5.65,3.39,1.97,0,148,921,11.6,8.58,0.137,40,44,22,-4,750,180
2,2,4.44,11.23,6.51,0,282,74.8,16.7,30.1,0.45,74,81,22,-4,750,180
2,2,4.59,12.43,7.21,0,333,123,27.6,67.9,0.483,65,72,22,-4,750,180
2,2,5.23,21.65,12.56,0,626,186,18.5,28.7,0.596,104,115,22,-4,750,180
2,2,5.05,9.31,5.4,0,112,38,43.1,6.89,0.367,55,61,22,-4,750,180
2,2,5.22,11.63,6.74,0,375,77.4,4.49,3.2,0.407,75,83,22,-4,750,180
1,3,4.71,11.63,6.74,0,150,85.6,24.7,29.3,0.45,73,81,22,-4,750,180
1,3,4.03,33.68,19.53,0,341,263,32.4,3.81,0.893,196,216,22,-4,750,180
4,3,5.43,13.23,7.67,0,253,78,9.03,4.17,0.383,77,85,22,-4,750,180
4,3,6.19,4.21,2.44,0,517,183,5.37,37.1,0.2,39,42,22,-4,750,180
4,3,6.01,1.65,0.96,0,86.5,44.5,3.24,7.87,0.073,40,44,22,-4,750,180
4,3,6.34,2.78,1.61,0,173,122,3.24,19.9,0.11,30,33,22,-4,750,180
4,3,6.3,3.72,2.16,0,97.1,176,3.15,14.9,0.12,31,34,22,-4,750,180
3,3,5.84,6.27,3.64,0,277,163,5.77,26.9,0.303,61,67,22,-4,750,180
3,3,5.33,6.81,3.95,0,293,121,7.69,3.2,0.37,64,70,22,-4,750,180
3,3,6.86,6.79,3.94,0,148,109,2.52,21.2,0.233,45,50,22,-4,750,180
3,3,5.48,18.44,10.7,0,424,163,17.9,59,0.503,59,65,22,-4,750,180
3,3,5.65,3.39,1.97,0,148,921,11.6,8.58,0.137,40,44,22,-4,750,180
2,3,4.44,11.23,6.51,0,282,74.8,16.7,30.1,0.45,74,81,22,-4,750,180
2,3,4.59,12.43,7.21,0,333,123,27.6,67.9,0.483,65,72,22,-4,750,180
2,3,5.23,21.65,12.56,0,626,186,18.5,28.7,0.596,104,115,22,-4,750,180
2,3,5.05,9.31,5.4,0,112,38,43.1,6.89,0.367,55,61,22,-4,750,180
2,3,5.22,11.63,6.74,0,375,77.4,4.49,3.2,0.407,75,83,22,-4,750,180
1,4,7.1,14.74,8.55,1.74,230,281,8.97,15.4,0.686,71,78,35,-11,534,77
1,4,4.12,28.62,16.6,0.53,247,123,20.8,3.33,1.3,143,158,35,-11,534,77
1,4,6.97,9.97,5.78,1.15,274,61.8,8.64,13,0.67,71,78,35,-11,534,77
1,4,6.81,9.93,5.76,1.72,267,50.9,10.1,12.5,0.547,72,79,35,-11,534,77
1,4,7.2,9.21,5.34,59.76,128,266,11.9,5.95,0.37,73,81,35,-11,534,77
4,4,7.8,1.8,1.04,28.98,324,85.8,5.05,3.03,0.12,38,42,35,-11,534,77
4,4,7.44,6.35,3.69,7.2,285,55.7,7.47,6.89,0.407,60,66,35,-11,534,77
4,4,7.39,5.41,3.14,29.47,223,201,7.78,5,0.253,59,65,35,-11,534,77
4,4,7.56,3.64,2.11,24.56,410,335,5.24,7.62,0.2,40,44,35,-11,534,77
4,4,7.51,2.6,1.51,21.61,193,49.3,6.77,7.29,0.183,45,50,35,-11,534,77
3,4,7.66,3.17,1.84,9,295,129,5.21,2.6,0.18,47,52,35,-11,534,77
3,4,7.21,9.06,5.25,3.97,298,57.7,10.1,3.57,0.543,67,74,35,-11,534,77
3,4,7.71,2.22,1.29,9.82,169,125,5.55,3.7,0.123,34,38,35,-11,534,77
3,4,7.68,4.27,2.48,18.83,414,367,5.73,10.4,0.24,51,56,35,-11,534,77
3,4,7.43,3.16,1.83,26.2,367,85.8,9.67,9.67,0.197,46,51,35,-11,534,77
2,4,7.32,12.59,7.3,6.22,229,34.2,9.87,25.9,0.686,67,74,35,-11,534,77
2,4,6.5,29.5,17.11,2.13,277,75.1,19.2,40.8,0.943,134,147,35,-11,534,77
2,4,6.9,15.62,9.06,5.89,271,47,12.7,13.3,0.56,78,85,35,-11,534,77
2,4,7.26,25.16,14.59,7.94,300,655,20,13.3,1.24,111,122,35,-11,534,77
2,4,7.23,5.61,3.26,2.5,357,93.2,7.74,10.1,0.327,63,69,35,-11,534,77
1,5,6.18,4.99,2.89,0,459,395,5.05,2.52,0.25,43,48,26,10,540,72
1,5,6.45,3.53,2.05,0,324,43.9,3.43,0.49,0.153,43,48,26,10,540,72
1,5,6.21,5.3,3.08,0,427,24.3,4.84,0.54,0.237,50,55,26,10,540,72
1,5,5.45,4.72,2.74,0,134,27.2,7.29,2.08,0.25,47,52,26,10,540,72
1,5,6.51,2.3,1.33,0,442,52.7,36,5.37,0.123,41,45,26,10,540,72
2,5,6.33,3.35,1.94,0,517,28.4,9.09,1.51,0.17,40,44,26,10,540,72
2,5,6.43,5.28,3.06,0,438,75.5,7.78,1.11,0.24,51,56,26,10,540,72
2,5,6.22,5.77,3.35,0,596,67.4,7.78,1.11,0.293,49,54,26,10,540,72
2,5,6.85,3.21,1.86,0,610,185,8.89,2.78,0.183,43,47,26,10,540,72
2,5,7.67,2.92,1.69,2.56,613,193,5,6.11,0.147,49,53,26,10,540,72
3,5,7.15,4.65,2.69,0.1,669,247,8.33,3.12,0.247,51,56,26,10,540,72
3,5,6.19,10.55,6.12,0,741,1580,14.1,1.28,0.407,67,73,26,10,540,72
3,5,6.56,6.45,4.71,0,720,371,12.9,5.91,0.367,55,61,26,10,540,72
3,5,6.99,8.38,6.12,0,1303,475,18.4,53.4,0.497,60,66,26,10,540,72
3,5,5.96,11.28,8.24,0,906,613,49.3,21.5,0.67,82,90,26,10,540,72
4,5,6.49,5.28,3.06,0,414,134,8.08,1.51,0.243,42,46,26,10,540,72
4,5,6.7,4.7,2.72,0,993,285,38.4,65.6,0.303,45,49,26,10,540,72
4,5,6.84,4.14,2.4,0,629,657,7.84,14.7,0.21,42,46,26,10,540,72
