Sample,TRT,CITY,BLK,BLK2
1,T2,C1,B1,B2
2,T4,C1,B2,B2
3,T2,C1,B1,B2
4,T4,C1,B2,B2
5,T3,C1,B2,B2
6,T2,C1,B1,B2
7,T3,C1,B2,B2
8,T4,C1,B2,B2
9,T2,C1,B1,B2
10,T4,C1,B2,B2
11,T2,C1,B1,B2
12,T3,C1,B2,B2
13,T3,C1,B2,B2
14,T1,C1,B1,B1
15,T1,C1,B1,B1
16,T1,C1,B1,B1
17,T1,C1,B1,B1
18,T1,C1,B1,B1
19,T4,C1,B2,B2
20,T3,C1,B2,B2
21,T1,C2,B1,B1
22,T1,C2,B1,B1
23,T1,C2,B1,B1
24,T1,C2,B1,B1
25,T1,C2,B1,B1
26,T4,C2,B2,B2
27,T4,C2,B2,B2
28,T4,C2,B2,B2
29,T4,C2,B2,B2
30,T4,C2,B2,B2
31,T3,C2,B2,B2
32,T3,C2,B2,B2
33,T3,C2,B2,B2
34,T3,C2,B2,B2
35,T3,C2,B2,B2
36,T2,C2,B1,B2
37,T2,C2,B1,B2
38,T2,C2,B1,B2
39,T2,C2,B1,B2
40,T2,C2,B1,B2
41,T1,C3,B1,B1
42,T1,C3,B1,B1
43,T1,C3,B1,B1
44,T1,C3,B1,B1
45,T1,C3,B1,B1
46,T4,C3,B2,B2
47,T4,C3,B2,B2
48,T4,C3,B2,B2
49,T4,C3,B2,B2
50,T4,C3,B2,B2
51,T3,C3,B2,B2
52,T3,C3,B2,B2
53,T3,C3,B2,B2
54,T3,C3,B2,B2
55,T3,C3,B2,B2
56,T2,C3,B2,B2
57,T2,C3,B1,B2
58,T2,C3,B1,B2
59,T2,C3,B1,B2
60,T2,C3,B1,B2
61,T1,C4,B1,B1
62,T1,C4,B1,B1
63,T1,C4,B1,B1
64,T1,C4,B1,B1
65,T1,C4,B1,B1
66,T4,C4,B2,B2
67,T4,C4,B2,B2
68,T4,C4,B2,B2
69,T4,C4,B2,B2
70,T4,C4,B2,B2
71,T3,C4,B2,B2
72,T3,C4,B2,B2
73,T3,C4,B2,B2
74,T3,C4,B2,B2
75,T3,C4,B2,B2
76,T2,C4,B1,B2
77,T2,C4,B1,B2
78,T2,C4,B1,B2
79,T2,C4,B1,B2
80,T2,C4,B1,B2
81,T1,C5,B1,B1
82,T1,C5,B1,B1
83,T1,C5,B1,B1
84,T1,C5,B1,B1
85,T1,C5,B1,B1
86,T2,C5,B1,B2
87,T2,C5,B1,B2
88,T2,C5,B1,B2
89,T2,C5,B1,B2
90,T2,C5,B1,B2
91,T3,C5,B2,B2
92,T3,C5,B2,B2
93,T3,C5,B2,B2
94,T3,C5,B2,B2
95,T3,C5,B2,B2
96,T4,C5,B2,B2
97,T4,C5,B2,B2
98,T4,C5,B2,B2
99,T4,C5,B2,B2
100,T4,C5,B2,B2
