TRT,CITY,ph,humus,orgC,caco3,al.k20,al.p2o5,nh4.n,no3.n,tot.n,k.a,Sat.perc,trt,city
2,1,6.33,5.00,2.90,0.00,174,32.0,7.24,6.52,0.240,67,74,Rem,Baltimore
4,1,6.59,2.29,1.33,0.00,83.9,33.8,2.90,1.45,0.127,34,38,Rud,Baltimore
2,1,5.23,2.81,1.63,0.00,45.9,39.8,3.03,0.00,0.123,36,40,Rem,Baltimore
4,1,6.54,1.42,0.83,0.00,61.4,32.2,2.52,0.50,0.063,32,36,Rud,Baltimore
3,1,5.75,2.69,1.56,0.00,101,62.5,2.60,1.04,0.107,40,44,Tur,Baltimore
2,1,4.54,5.21,3.02,0.00,75.5,61.6,5.37,1.07,0.193,51,56,Rem,Baltimore
3,1,6.03,3.91,2.27,0.00,146,207,3.12,2.60,0.180,45,50,Tur,Baltimore
4,1,7.54,4.78,2.77,2.38,115,425,3.43,4.41,0.187,39,43,Rud,Baltimore
2,1,5.42,4.97,2.88,0.00,255,38.4,3.22,0.54,0.163,48,53,Rem,Baltimore
4,1,7.50,2.39,1.39,1.61,149,78.3,3.33,3.89,0.107,38,41,Rud,Baltimore
2,1,5.03,5.68,3.29,0.00,83.7,45.0,4.84,0.54,0.207,50,55,Rem,Baltimore
3,1,6.95,6.00,3.48,0.00,166,288,3.89,5.00,0.250,55,60,Tur,Baltimore
3,1,5.80,3.70,2.14,0.00,118,55.2,3.33,2.78,0.193,47,52,Tur,Baltimore
1,1,4.91,5.33,3.09,0.00,124,31.3,3.70,0,0.193,67,74,Ref,Baltimore
1,1,5.24,3.94,2.28,0.00,100,29.1,2.87,0.57,0.160,58,64,Ref,Baltimore
1,1,6.42,5.63,3.26,0.00,216,18.1,5.55,2.78,0.257,73,80,Ref,Baltimore
1,1,4.14,5.39,3.13,0.00,90.1,36.3,3.20,0,0.143,70,77,Ref,Baltimore
1,1,4.54,4.76,2.76,0.00,86.2,26.7,3.45,0.57,0.117,60,66,Ref,Baltimore
4,1,7.03,2.82,1.64,0.73,87.9,75.3,2.60,0.52,0.113,38,42,Rud,Baltimore
3,1,7.20,4.42,2.57,1.49,177,132,3.89,2.78,0.187,48,53,Tur,Baltimore
1,2,3.92,46.51,26.98,0.00,311,215,44.0,6.66,1.09,255,281,Ref,Helsinki
1,2,4.46,54.53,31.63,0.00,560,217,81.3,9.33,1.34,375,413,Ref,Helsinki
1,2,4.35,62.55,36.28,0.00,522,325,76.0,6.66,1.85,400,440,Ref,Helsinki
1,2,4.33,28.47,16.51,0.00,157,110,44.0,33.3,0.893,182,200,Ref,Helsinki
1,2,4.01,54.93,31.86,0.00,618,232,44.0,4.00,1.26,,,Ref,Helsinki
4,2,5.43,13.23,7.67,0.00,253,78.0,9.03,4.17,0.383,77,85,Rud,Helsinki
4,2,6.19,4.21,2.44,0.00,517,183,5.37,37.1,0.200,39,42,Rud,Helsinki
4,2,6.01,1.65,0.96,0.00,86.5,44.5,3.24,7.87,0.073,40,44,Rud,Helsinki
4,2,6.34,2.78,1.61,0.00,173,122,3.24,19.9,0.110,30,33,Rud,Helsinki
4,2,6.30,3.72,2.16,0.00,97.1,176,3.15,14.9,0.120,31,34,Rud,Helsinki
3,2,5.84,6.27,3.64,0.00,277,163,5.77,26.9,0.303,61,67,Tur,Helsinki
3,2,5.33,6.81,3.95,0.00,293,121,7.69,3.20,0.370,64,70,Tur,Helsinki
3,2,6.86,6.79,3.94,0.00,148,109,2.52,21.2,0.233,45,50,Tur,Helsinki
3,2,5.48,18.44,10.70,0.00,424,163,17.9,59.0,0.503,59,65,Tur,Helsinki
3,2,5.65,3.39,1.97,0.00,148,921,11.6,8.58,0.137,40,44,Tur,Helsinki
2,2,4.44,11.23,6.51,0.00,282,74.8,16.7,30.1,0.450,74,81,Rem,Helsinki
2,2,4.59,12.43,7.21,0.00,333,123,27.6,67.9,0.483,65,72,Rem,Helsinki
2,2,5.23,21.65,12.56,0.00,626,186,18.5,28.7,0.596,104,115,Rem,Helsinki
2,2,5.05,9.31,5.40,0.00,112,38.0,43.1,6.89,0.367,55,61,Rem,Helsinki
2,2,5.22,11.63,6.74,0.00,375,77.4,4.49,3.20,0.407,75,83,Rem,Helsinki
1,3,,,,,,,,,,,,Ref,Lahti
1,3,4.71,11.63,6.74,0.00,150,85.6,24.7,29.3,0.450,73,81,Ref,Lahti
1,3,4.03,33.68,19.53,0.00,341,263,32.4,3.81,0.893,196,216,Ref,Lahti
1,3,,,,,,,,,,,,Ref,Lahti
1,3,,,,,,,,,,,,Ref,Lahti
4,3,5.43,13.23,7.67,0.00,253,78.0,9.03,4.17,0.383,77,85,Rud,Lahti
4,3,6.19,4.21,2.44,0.00,517,183,5.37,37.1,0.200,39,42,Rud,Lahti
4,3,6.01,1.65,0.96,0.00,86.5,44.5,3.24,7.87,0.073,40,44,Rud,Lahti
4,3,6.34,2.78,1.61,0.00,173,122,3.24,19.9,0.110,30,33,Rud,Lahti
4,3,6.30,3.72,2.16,0.00,97.1,176,3.15,14.9,0.120,31,34,Rud,Lahti
3,3,5.84,6.27,3.64,0.00,277,163,5.77,26.9,0.303,61,67,Tur,Lahti
3,3,5.33,6.81,3.95,0.00,293,121,7.69,3.20,0.370,64,70,Tur,Lahti
3,3,6.86,6.79,3.94,0.00,148,109,2.52,21.2,0.233,45,50,Tur,Lahti
3,3,5.48,18.44,10.70,0.00,424,163,17.9,59.0,0.503,59,65,Tur,Lahti
3,3,5.65,3.39,1.97,0.00,148,921,11.6,8.58,0.137,40,44,Tur,Lahti
2,3,4.44,11.23,6.51,0.00,282,74.8,16.7,30.1,0.450,74,81,Rem,Lahti
2,3,4.59,12.43,7.21,0.00,333,123,27.6,67.9,0.483,65,72,Rem,Lahti
2,3,5.23,21.65,12.56,0.00,626,186,18.5,28.7,0.596,104,115,Rem,Lahti
2,3,5.05,9.31,5.40,0.00,112,38.0,43.1,6.89,0.367,55,61,Rem,Lahti
